Eng,Chi
J.S. Bach,J.S. Bach
Bourrée BWV 996,Bourrée BWV 996
Colin Downs,Colin Downs
Spy,Spy
Toshifumi Hinata,Toshifumi Hinata
Wishes,Wishes
Eric Clapton,Eric Clapton
Tears in Heaven,Tears in Heaven
天空之城,天空之城
Mauro Giuliani,Mauro Giuliani
Vincent Lindsey Clark,Vincent Lindsey Clark
“Pulsar”,“Pulsar”
Luis de Narváez,Luis de Narváez
Diferencias sobre Guardame las vacas,Diferencias sobre Guardame las vacas
Dilermando Reis,Dilermando Reis
Leo Brouwer,Leo Brouwer
Joao Pernambuco,Joao Pernambuco
Sons de Carrilhoes,Sons de Carrilhoes
Domenico Scarlatti,Domenico Scarlatti
Sonata kp.322,Sonata kp.322
Erik Satie,Erik Satie
Kotaro Oshio,Kotaro Oshio
Twilight,Twilight
BWV 1002 (transcribed for Guitar),BWV 1002 (transcribed for Guitar)
BWV 1012 (transcribed for Guitar),BWV 1012 (transcribed for Guitar)
Jacobus Chong,莊伯富
Giuliano-Sommerhalder,朱利亞諾．松莫哈德
Rosanne Lui Shan,呂珊
Wagner,Wagner
“Die Meistersinger von Nurnberg” Overture,“Die Meistersinger von Nurnberg” Overture
The Butterfly Lovers (Arr,The Butterfly Lovers (Arr
Mascagni,Mascagni
Intermezzo sinfonico,Intermezzo sinfonico
Verdi,Verdi
“Nabucodonosor” Overture,“Nabucodonosor” Overture
Nabuco Core di Schiave Ebrei (Chorus),Nabuco Core di Schiave Ebrei (Chorus)
“La Forza Del Destino” Overture,“La Forza Del Destino” Overture
Ponchielli,Ponchielli
Hohne,Hohne
Matthias Bamert,巴默特
Richard Strauss,李察．史特勞斯
Metamorphosen,變形
Bruch,布魯赫
Violin Concerto No 1 in G minor,G小調第一小提琴協奏曲
Op 26,作品26
Symphony No 4 in B-flat,降B大調第四交響曲
Op 60,作品60
Yefim Bronfman,布朗夫曼
Tristan und Isolde,《崔斯坦與伊索爾德》
R. Strauss,李察．史特勞斯
Yangqin & String Quartet),揚琴與弦樂四重奏)
Chung Yiu-kwong,鍾耀光
Yangqin & Piano),揚琴與鋼琴)
Jamie Lin,林心蘋
Yangqin,揚琴
Piano & String Quartet),鋼琴與弦樂四重奏)
The Regret (Ancient Tune,雙星恨(古曲
Yangqin & Dongxiao),揚琴與洞簫)
Qu Chunguan,瞿春泉
Travelling in Chaozhou (Arr. Qu Jianqing,潮鄉行(瞿建青編曲
Yangqin Solo),揚琴獨奏)
Hanging the Blind Upside Down (Yangqin Solo),倒垂簾(揚琴獨奏)
Spring in Honghe (Yangqin Solo),紅河的春天(揚琴獨奏)
Thoughts Over the Clouds (Yangqin Solo),雲端(揚琴獨奏)
The Dragon Boat (Notated by Zhang Zhengqiu,龍船(張正秋傳譜
Trans. by Tian Kejian,田克儉改編
黃琳琬,黃琳琬
喜訊傳邊寨(雲南多個民族,喜訊傳邊寨(雲南多個民族
鳯尾竹下(傣族,鳯尾竹下(傣族
多種吹管樂器聯奏,多種吹管樂器聯奏
帕米爾的春天(塔吉克族,帕米爾的春天(塔吉克族
梆笛獨奏),梆笛獨奏)
春到草原(蒙古族,春到草原(蒙古族
巴烏與樂隊),巴烏與樂隊)
林中夜會(黎族,林中夜會(黎族
劉三姐(壯族,劉三姐(壯族
獨弦琴與樂隊,獨弦琴與樂隊
瑤族舞曲(瑤族,瑤族舞曲(瑤族
葫蘆絲與樂隊),葫蘆絲與樂隊)
赫哲新歌(赫哲族,赫哲新歌(赫哲族
曲笛與樂隊),曲笛與樂隊)
比茲卡情歌(土家族,比茲卡情歌(土家族
紅面紗(維吾爾族,紅面紗(維吾爾族
獨弦琴與樂隊),獨弦琴與樂隊)
阿眉族舞曲(高山族,阿眉族舞曲(高山族
紅太陽照邊疆(朝鮮族,紅太陽照邊疆(朝鮮族
笛子,笛子
Furee Sung,宋惜勵
Woody Wu,胡喬立
Jamie Jim,詹蔚雯
Simon Yau,游元慶
Ludwig van Beethoven,Ludwig van Beethoven
Carl Reinecke,Carl Reinecke
Trio for Piano,Trio for Piano
Clarinet and Horn,Clarinet and Horn
WoO 80,WoO 80
Heinz Irsen,Heinz Irsen
Jagdmusik für Violine und Horn,Jagdmusik für Violine und Horn
Max Bruch,Max Bruch
Eight Pieces for Clarinet,Eight Pieces for Clarinet
Viola and Piano,Viola and Piano
4,4
5,5
and 7),and 7)
Franz Schreker,Franz Schreker
Der Wind for Clarinet,Der Wind for Clarinet
Horn,Horn
Violin,Violin
Cello and Piano,Cello and Piano
Xue Yuan,薛源
Woo Pak Tuen,胡栢端
Yao Shenshen,姚申申
Moonlight on the Spring River (Excerpts,《春江花月夜》(選段
Ancient Music,古曲
Arr. Qin Pengzhang and Luo Zhongrong),秦鵬章
,羅忠镕編)
Luan-Yun-Fei (Arr. Peng Xiuwen,《亂雲飛》(根據京劇《杜鵑山》改編
based on the Peking Opera,彭修文編曲)
Doming Lam,林樂培
Insect World (Excerpts),《昆蟲世界》(選段)
Flying Apsara,《飛天》
Johnny Ng,吳庭光
Don Giovanni Overture,Don Giovanni Overture
K.622 (Excerpt),K.622 (Excerpt)
K.218 (Excerpt),K.218 (Excerpt)
Shostakovich,Shostakovich
Fugue in G minor,G小調大賦格曲 - 作品BWV542
"BWV542 ""The Great""",
S. Yagisawa,八木澤教司
Coloratura,色彩
E. Bozza,波札
F. Kuhlau,古努
Ballet Suite,芭蕾組曲
Berthomieu,貝托米歐
Chats,貓
Peter Chan,
Seth Poon,
Seth's Mother,
Mok King Hei,
Sarah Wong,
Eugenie Lu,
Anson Chiu,
Anson Leung,
Sabrina Ng,
Ingrid Chan,
Brigrid Chan,
Ernest Wong,
Jeffery Chan,
Emily Wong,
Yoyo Tsang,
Kinnie Cheng,
Jade Chiu,
Martin Ng,
Erela Chan,
Sammi Ku,
Joanne Chan,
Karen Kwong,
Heidi Lam,
Kenneth Tong,
Sarah Chiu,
Philip Yue,
Cherry Szeto,
Monica Wan,
Cathy Tse,
Emma Chan,
George Wong,
Dennis Ng,
Venus Chan,
Eries So,
Suki Poon,
May Wong,
Peco Tsui,
Kristina Chan,
Chu Yan Lok Kaycee,
J. Ibert,G. Faure
Entr' acte,Sicilienne
G. Faure,R. Dyens
Sicilienne,Tango en skai
R. Dyens,nil
,Christian Soldiers
nil,M. Mower
Christian Soldiers,
M. Mower,F. Schubert
Waltzlet,Minuetto and Trio
F. Schubert,L.Searle
Minuetto and Trio,The Voyage of Spanish Fleet
L.Searle,W.A. Mozart
W.A. Mozart,C.M. Widor
C.M. Widor,Stamltz
Romance,Romance
Stamltz,P. Gaubert
P. Gaubert,C.P.E. Bach
C.P.E. Bach,G.F. Handel
Hamburger Sonate,Arrival of the Queen of Sheba (arr. by Carson Yu)
G.F. Handel,Beethoven
Arrival of the Queen of Sheba (arr. by Carson Yu),Allegro
Beethoven,P.Hindemith
Allegro,Heiter Bewegt
P.Hindemith,C.Chaminade
C.Chaminade,J.S. Bach
J.S. Bach,Muramatsu
Sheep May Safely Graze,Earth
Muramatsu,Damare
Damare,Mercadante
Mercadante,Strauss
Rondo Russo,Radetzky March
Strauss,
Radetzky March,
,編曲
“Cleaning Ladies” (Percussion Ensemble),「清潔女工」(敲擊樂合奏)
Libertango (Saxophone Ensemble),探戈(薩克管合奏)
Anthony Wong,黃智輝
Nguyen Bao Anh,阮寶安
Artem Konstantinov,康雅談
Samantha Ho Kriegel,Samantha Ho Kriegel
Richard Bamping,Richard Bamping
Shih-Chieh Hou Jessie,Shih-Chieh Hou Jessie
Colleen Lee,Colleen Lee
Andrew Ling,Andrew Ling
Mark Lung,Mark Lung
Andrew Simon,Andrew Simon
Lap-Shan Wu,Lap-Shan Wu
Alexis Alrich,Alexis Alrich
The Shadow in the Moon (World Premiere),The Shadow in the Moon (World Premiere)
Jeffie Leung,Jeffie Leung
Clori Chan,Clori Chan
Fung Tik Man,Fung Tik Man
Grace Tsang,Grace Tsang
Ivan Wong,Ivan Wong
Kingsley Chan,Kingsley Chan
Stephen Fung,Stephen Fung
All Things Bright And Beautiful (17th C. English Melody),All Things Bright And Beautiful (17th C. English Melody)
E. M. Roth,E. M. Roth
In My Heart There Rings A Melody,In My Heart There Rings A Melody
W. R. Bassford,W. R. Bassford
Like Me?,Like Me?
Don Wyrtzen,Don Wyrtzen
Love Wan When,Love Wan When
Heavenly Bliss,Heavenly Bliss
W. Davies,W. Davies
God Be In My Head,God Be In My Head
S. Smith,S. Smith
There's A Friend For Little Children,There's A Friend For Little Children
J. Newton,J. Newton
Amazing Grace,Amazing Grace
J. Rutter,J. Rutter
All Things Bright And Beautiful,All Things Bright And Beautiful
Let Us Break Bread Together,Let Us Break Bread Together
At The River,At The River
M. Ledner,M. Ledner
You Are My Hiding Place,You Are My Hiding Place
Standing In The Need Of Prayer,Standing In The Need Of Prayer
T. Paris,T. Paris
He Is Exalted,He Is Exalted
W. A. Mozart,W. A. Mozart
Agnus Dei,Agnus Dei
C. Franck,C. Franck
Panis Angelicus,Panis Angelicus
L. V. Beethoven,L. V. Beethoven
All Nature Sings God's Praises,All Nature Sings God's Praises
Let All Things Now Living,Let All Things Now Living
God Of The Ages,God Of The Ages
Let There Be Peace On Earth,Let There Be Peace On Earth
R. V. Williams,R. V. Williams
The Call,The Call
C. B. Sager & D. Foster,C. B. Sager & D. Foster
The Prayer,The Prayer
G. F. Handel,G. F. Handel
Oh! Had I Jubal's Lyre,Oh! Had I Jubal's Lyre
J. S. Bach / C. Gounod,J. S. Bach / C. Gounod
Laudate Dominum,Laudate Dominum
Laudamus Te,Laudamus Te
For The Beauty Of The Earth,For The Beauty Of The Earth
J. Granier,J. Granier
How Beautiful Are The Feet,How Beautiful Are The Feet
Love Ye The Lord,Love Ye The Lord
A. H. Malotte,A. H. Malotte
The Lord's Prayer,The Lord's Prayer
C. W. Gluck,C. W. Gluck
O Saviour,O Saviour
Hear Me,Hear Me
H.L. Hassler,H.L. Hassler
O Sacred Head,O Sacred Head
Now Wounded,Now Wounded
G. Bizet,G. Bizet
J. Crüger,J. Crüger
Holy Jesus,Holy Jesus
G. Fauré,G. Fauré
Pie Jesu,Pie Jesu
D. T. Clydesdale,D. T. Clydesdale
Holy Is He,Holy Is He
W. J. Gaither,W. J. Gaither
Because He Lives,Because He Lives
H. Purcell,H. Purcell
Oh! For A Quill,Oh! For A Quill
......Alleluja,......Alleluja
Alleluja,Alleluja
J. Richards & R. Mullen,J. Richards & R. Mullen
He,He
Festive Overture,Festive Overture
Khachaturian,Khachaturian
Violin Concerto,Violin Concerto
Gershwin,Gershwin
Barber,Barber
Adagio for Strings,Adagio for Strings
Sarasate,Sarasate
Zigeunerweisen,Zigeunerweisen
Butterfly Lovers' Violin Concerto,Butterfly Lovers' Violin Concerto
Yip Wai-hong,Yip Wai-hong
Cello Concerto,Cello Concerto
Copland,Copland
Hoe-down,Hoe-down
Anderson,Anderson
Jazz Legato/Jazz Pizzicato,Jazz Legato/Jazz Pizzicato
Introduction et Rondo Capriccioso,Introduction et Rondo Capriccioso
Ho Chee Kin,胡志健
Wai Hang-hay,韋恆熹
Daniel Lam,林思聰
Ong Gim Dee,王錦利
Lee Chun Lok,李俊樂
Lee Shuk-yin Dory,李淑賢
Rosalind But,畢玫
Sally Chan,陳瑞蓮
Christina Cheung,張蕙詩
Chen Weijie Vincent,陳維傑
Ng Ka-man Karmen,吳嘉敏
Owen Ho,胡志健
The Moment & The Movement,瞬間與樂章
A Piazolla,皮亞佐拉
Libertango (arr. by H Mino),自由探戈 (arr. by H Mino)
Joaquin Rodrigo,華金．羅德里戈
Hava Nagila (Trad),猶太婚禮舞曲 (Trad)
Ernesto Lecuona-Tommy Reilly,萊庫納
Malaguena,馬拉加舞曲
Robert Farnon,羅拔．法朗
Prelude and Dance,前奏與舞曲
George Gershwin,歌舒詠
Rhapsody In Blue,藍色狂想曲
Francis Chagrin,夏格林
Gordon Jacob,哥頓．雅各布
Five Pieces,五首小品
Ng Chiu-Shing,吳朝勝
Kwan Lok Tin,關樂天
Ng Ka Ming,吳家明
James Barnes,巴恩斯
Arturo Márquez,馬奎斯
Jing Jianshu,景建樹
Watching Yang-ge,黃河風情 第三月章—看秧歌
Red Blossoms (Shanbei Folk Song),山丹丹開花紅艷艷(陝北民歌
,吳朝勝編)
Spring Tide in Gansu,隴上春潮
Below the Lion Rock,獅子山下
Hiroyuki Yamazawa,山澤洋之
Snow/Byakko,雪灯籠／白虎
Icy Wong,Icy Wong
J. Rodrigo,J. Rodrigo
The Little White Dove,The Little White Dove
Weill & I. Gershwin,Weill & I. Gershwin
My Ship,My Ship
arr. W. H. Anderson),arr. W. H. Anderson)
God be in my Head,God be in my Head
Leonard Bernstein,Leonard Bernstein
My House,My House
Arlen & Harburg,Arlen & Harburg
Over the Rainbow,Over the Rainbow
Lionel Bart,Lionel Bart
Consider Yourself,Consider Yourself
O. Gibbons,O. Gibbons
The Silver Swan,The Silver Swan
Jerry Bock & Sheldon Harnick,Jerry Bock & Sheldon Harnick
The Little Horses (Arr. Aaron Copland),The Little Horses (Arr. Aaron Copland)
Roger Quilter,Roger Quilter
Now sleeps the crimson petal,Now sleeps the crimson petal
If I loved you,If I loved you
T. A. Arne,T. A. Arne
Reger,Reger
Maria Wiegenlied,Maria Wiegenlied
Ian Higginson,Ian Higginson
Fear no more the heat o’ the sun,Fear no more the heat o’ the sun
Lin Marsh,Lin Marsh
Windy weather,Windy weather
E. di Capua,E. di Capua
O Sole Mio,O Sole Mio
R. Schumann,R. Schumann
Die Lotosblume,Die Lotosblume
Gilbert & Sullivan,Gilbert & Sullivan
The sun,The sun
whose rays are all ablaze,whose rays are all ablaze
Lied eines Schiffers an die Dioskuren,Lied eines Schiffers an die Dioskuren
Some enchanted evening,Some enchanted evening
Vincenzo Bellini,Vincenzo Bellini
Per pieta,Per pieta
bell’idol mio,bell’idol mio
Alexander Wong,Alexander Wong
Antonio Vivaldi,Antonio Vivaldi
Domine Deus,Domine Deus
Lied der Mignon,Lied der Mignon
Richard Strauss,Richard Strauss
Allerseelen,Allerseelen
Quando men vo,Quando men vo
Graham Peel,Graham Peel
The Early Morning,The Early Morning
Bart Howard,Bart Howard
Fly me to the moon,Fly me to the moon
Consider yourself,Consider yourself
Mattinata,Mattinata
Gluck,Gluck
G. & I. Gershwin,G. & I. Gershwin
By Strauss,By Strauss
tardai troppo… o luce di quest’anima,tardai troppo… o luce di quest’anima
Reynaldo Hahn,Reynaldo Hahn
Si mes vers avaient des ailes,Si mes vers avaient des ailes
Johann-Paul Martini,Johann-Paul Martini
Plaisir d’amour,Plaisir d’amour
Gabriel Fauré,Gabriel Fauré
Wir wandelten,Wir wandelten
S. Rachmaninoff,S. Rachmaninoff
Vocalise,Vocalise
Zueignung,Zueignung
Ge Yang,葛楊
Arr. by Peng Xiuwen),彭修文編曲)
As the Moon Rises (Ancient Melody,月兒高(古曲
The Indomitable Su Wu (Zhonghu Concerto),不屈的蘇武(中胡協奏曲)
Spring Capriccio (Concerto for Double Ruanxians),春天隨想曲(雙阮咸協奏曲)
Twelve months (Suite,十二月(套曲
Excerpts),選段)
Reflection of the Moon on the Water (Bass Erhu and Orchestra,二泉映月(低音二胡與樂隊
Arr. by Peng Xiuwen),彭修文編配)
Dance of the Yao Tribe (Arr. by Peng Xiuwen),瑤族舞曲(彭修文編曲)
,蔡惠泉
Drums in Celebration of a Bumper Harvest,豐收鑼鼓
Flowing Water (Symphonic Poem),流水操(交響詩)
Zhu Mu,朱牧
Mavis Lam,林灒桐
Wong Wing-sang,黃榮生
Chan Pui-ching,陳沛正
excerpts),選段)
György Ligeti,捷爾克．利蓋蒂
Sonata for Solo Cello (1948-1953),無伴奏大提琴奏鳴曲(1948-1953)
Ten Minutes at 1 Gloucester Road (2014,在告士打道一號的十分鐘(2014
for cello and electronics),為大提琴和電子樂而作)
Ho Man-hin,何旻軒
The Flower in Fog (2014,霧裡看花(2014
for cello,為大提琴
sheng and ruan),笙
,阮而作)
Cheung Pui-shan,張珮珊
Solar Contemplation II (2014,日想觀II(2014
pipa and sheng),琵琶
,笙而作)
George Crumb,喬治．克拉姆
Sonata for Solo Cello (1955),無伴奏大提琴奏鳴曲(1955)
Industry (1992,工業(1992
Mark Hui,許榮臻
Sean Li,李承謙
William Chung,鍾偉亮
Alston Ng,伍文輝
Stone Tung,董書廷
Alison Lau,劉卓昕
Ashley Chui,徐曉晴
Wesley Lam,林俊傑
Fauré,佛瑞
The Élégie,悲歌
Chichester Psalms,奇切斯特詩篇
Triple Concerto in in C major,C大調三重協奏曲
Gesang der Parzen,命運的女神之歌
for choir and orchestra),作品49(布克托夫 編
,合唱及管弦樂版本)
Martin Kwok-tin Choy,蔡國田
Ho-man Choi,蔡浩文
Krommer,克魯瑪
Clarinet Concerto in E-Flat Major,降E大調單簧管協奏曲
"""Unfinished""",「未完成」
Chien Wen-pin,簡文彬
Edicson Ruiz,魯伊斯
Don Juan,《唐璜》
Op 20,作品20
Dittersdorf,狄達斯多夫
Double Bass Concerto,低音大提琴協奏曲
Symphony No 35 in D,D大調第35交響曲
K385,K385
“Haffner”,「哈夫納」
Till Eulenspiegels Lustige Streiche,《狄爾的惡作劇》
Yi-Bing Chu,朱亦兵
Vivian Cheng,鄭慧
Schubert/Mahler,舒伯特/馬勒
Death and the Maiden,死神與少女
"""Arpeggione"" sonata","""琶音琴""奏鳴曲"
Richard Pontzious,龐信
Candide Overture,《康迪特》序曲
R.Strauss,理察．史特勞斯
Ein Heldenleben,《英雄的生涯》
Eroica,
James Judd,朱特
Verdi,威爾弟
La forza del destino Overture,《命運之力》序曲
Prélude à l'après-midi d'un faune,《牧神的午後前奏曲》
La Valse,圓舞曲
陳美恩,陳美恩
送我一支玫瑰花(新彊民歌,送我一支玫瑰花(新彊民歌
徐美婷改編),徐美婷改編)
吳應炬,吳應炬
草原英雄小姐妹(劉起超,草原英雄小姐妹(劉起超
張燕編曲),張燕編曲)
林沖夜奔(王巽之,林沖夜奔(王巽之
陸修棠編曲),陸修棠編曲)
恆春耕農歌(周成龍改編),恆春耕農歌(周成龍改編)
鬧元宵(曹東扶編曲),鬧元宵(曹東扶編曲)
嬋歌,嬋歌
高山流水(王巽之傳譜,高山流水(王巽之傳譜
徐美婷演奏譜),徐美婷演奏譜)
草蜢弄雞公(台灣民謠),草蜢弄雞公(台灣民謠)
山西調(何占豪編),山西調(何占豪編)
春花望露(顧冠仁曲譜),春花望露(顧冠仁曲譜)
將軍令(浙江箏曲,將軍令(浙江箏曲
王巽之傳譜),王巽之傳譜)
Esther Hwang,黄智慧
Sunny She,佘曉雪
Jack Wong,黃永康
Wolfgang Amadeus Mozart,莫扎特
Divertimento in F major,F大調嬉遊曲
K138,K138
Alexander Borodin,鮑羅丁
Felix Mendelssohn,孟德爾遜
String Octet in E-flat major,降E大調弦樂八重奏
Serenade for Strings in E minor,E小調弦樂小夜曲
We Say Hello (Children’s song),《你好》(童謠)
A Ram Sam Sam (Moroccan folk song),《快樂的農夫》(摩洛哥民謠)
,關銘
Harvest Song,《豐收秧歌》
Lo Wai-leung(arr.)),盧偉良(編))
Zhong Yiliang,鐘義良
Spring Poetry (Lo Wai-leung (arr.)),《春詩》(盧偉良(編))
Huang Haihuai,黃海懷
Horse Race (Qu Chunquan (arr.)),《賽馬》(瞿春泉(編))
Chen Maojian,陳茂堅
The Joyous Chili Village (Li Shek-um (arr.)),《節日的赤黎村》(李石庵(編)
郭仲揚,郭仲揚
陳淑貞,陳淑貞
陳子匡,陳子匡
王琴,王琴
黃嘉禧,黃嘉禧
黃嘉祿,黃嘉祿
顧影,顧影
謝珊蓉,謝珊蓉
余旦,余旦
花泣(箏笛二重奏),花泣(箏笛二重奏)
秦桑曲(古箏獨奏),秦桑曲(古箏獨奏)
懷鄉行(高胡獨奏),懷鄉行(高胡獨奏)
春到田間(大廣弦獨奏),春到田間(大廣弦獨奏)
雙星恨(廣東五架頭),雙星恨(廣東五架頭)
阿美族舞曲(親子二胡),阿美族舞曲(親子二胡)
禪院鐘聲(椰胡洞簫二重奏),禪院鐘聲(椰胡洞簫二重奏)
嘎達梅林(古箏大提琴二重奏),嘎達梅林(古箏大提琴二重奏)
采茶舞曲(女高音獨唱),采茶舞曲(女高音獨唱)
蝶戀花(女高音獨唱),蝶戀花(女高音獨唱)
京調(合奏),京調(合奏)
紫竹調(合奏),紫竹調(合奏)
洗衣歌(合奏),洗衣歌(合奏)
娛樂昇平(合奏),娛樂昇平(合奏)
Carl Höhne,Carl Höhne
Koji Kondo,Koji Kondo
Super Mario (arr.,Super Mario (arr.
宮崎駿動畫〈哈爾移動城堡〉人生的旋轉木馬(arr.,宮崎駿動畫〈哈爾移動城堡〉人生的旋轉木馬(arr.
K448 (1st mov),K448 (1st mov)
D. 810 (2nd mov),D. 810 (2nd mov)
Louis Spohr,Louis Spohr
Five Pieces for 2 Violins and Piano,Five Pieces for 2 Violins and Piano
Prelude and Gavotte,Prelude and Gavotte
Sophie Mok,莫思奇
Ingrid Yuen,袁皓頤
Gladys Tam,譚旻欣
Daisuke Shimizu,清水大輔
Celebrate,慶典
Concertino for Solo Oboe and Chamber Winds (arr. Robert J. Garofalo),雙簧管小協奏曲(吉勞法羅 編)
Toshiro Mayuzumi,黛敏郎
Concertino for Xylophone and Orchestra (arr. Andre Reichling),木琴小協奏曲(萊希令 編)
Frank Ticheli,弗蘭克．提切利
Cajun Folk Songs,卡真民族組曲
Ralph Vaughan Williams,雷夫．佛漢．威廉斯
English Folk Song Suite,英國民謠組曲
El Camino Real,王者之道
Hymn to the Infinite Sky,讚頌無盡的宇宙
Jan Van der Roost,盧斯特
Puszta - Four Gipsy Dance,普斯塔草原—四首吉卜賽舞曲
Tim Chen,陳祥恒
Saki Matsumoto,松本佐紀
Eugène Ysaÿe,Eugène Ysaÿe
Sonata for Piano and Violin in E minor,Sonata for Piano and Violin in E minor
K. 304,K. 304
Giuseppe Tartini,Giuseppe Tartini
"Violin Sonata in G minor ""Devil's Trill Sonata""","Violin Sonata in G minor ""Devil's Trill Sonata"""
Camille Saint-Saëns,Camille Saint-Saëns
La Capricieuse,La Capricieuse
Robert Schumann,Robert Schumann
Jakub Hrůša,雅各．胡薩
Liza Ferschtman,菲斯曼
Janáček,楊納傑克
Lachian Dances,《蘭吉亞舞曲》
Stravinsky,史特拉汶斯基
Violin Concerto,小提琴協奏曲
Ken Lam,林敬基
Warren Lee,李偉安
Huang Ying,黃英
Nie Er,聶耳
Shi Wanchun,施萬春
Festive Overture,《節日序曲》
Yellow River Piano Concerto (arr. Yin,《黃河》鋼琴協奏曲(殷承宗
Chu,儲望華
Sheng,盛禮洪
Shi & Xu),石叔誠
,許斐星改編)
Jasmine Flower (Jiangsu Folk Song),《茉莉花》(江蘇民歌)
A Little Path (Suiyuan Folk Song),《小路》(綏遠民歌)
Zheng Qiufeng,鄭秋楓
I Love You,《我愛你
China!,中國》
Qing Zhu,青主
I live at the source of Yangtze River,《我住長江頭》
Il barbiere di Siviglia,《西維利亞理髮師》
La bohème,《波希米亞人》
Delibes,德利伯
Les filles de Cadix,《卡迪斯姑娘》
Winnie Choy,蔡慧楨
Adrian Lam,林瀚聰
,BWV 903
"""When we met Before & Again... in Our Memories"" (for 4 Hands Piano",《再回首
World Premiere),已是故人...》(為四手鋼琴聯彈而作
Austin Brake,Austin Brake
A modal portrait (Asia premiere),A modal portrait (Asia premiere)
Luis Serrano Alarcón,Luis Serrano Alarcón
Symphony for Wind Orchestra (Asia Premiere),Symphony for Wind Orchestra (Asia Premiere)
Duende (four preludes for Symphonic Wind Ensemble),Duende (four preludes for Symphonic Wind Ensemble)
Three Sketches for wind ensemble (World Premiere & Commissioned by HKBDA),Three Sketches for wind ensemble (World Premiere & Commissioned by HKBDA)
Wu Guanqing Chris,吳冠青
Folk Song Suite,Folk Song Suite
Chris Choi,蔡承軒
Ensign - In Memory of Nelson Mandela (World Premiere),Ensign - In Memory of Nelson Mandela (World Premiere)
潘娥青,潘娥青
郭小青,郭小青
《紅棉隨想》(合奏),《紅棉隨想》(合奏)
《月夜幻想》(合奏),《月夜幻想》(合奏)
《梁祝》(琵琶協奏曲),《梁祝》(琵琶協奏曲)
《望夫雲傳說》(笙協奏曲),《望夫雲傳說》(笙協奏曲)
《悠悠夢之舞》(女民聲與樂隊),《悠悠夢之舞》(女民聲與樂隊)
《巴圖魯戰神之舞》(滿族鼓吹樂與樂隊),《巴圖魯戰神之舞》(滿族鼓吹樂與樂隊)
N. de Angelis,安吉利士
Dao Lang,刀郎
The Lonely Shephered,孤獨的牧羊人
W.A.Mozart,莫扎特
J.Pachelbel,帕赫貝爾
Canon in D,D大調卡農曲
P. Simon,保羅．西蒙
The Sound of Silence,寂靜之聲
River flows in You,你的心河
Zimme-Badelt,吉瑪—德爾特
Pirates of the Caribbean,加勒比海盜主題曲
Lam Wing-wing,林穎穎
Jovita Leung,梁頌儀
Sandy Leung,梁少瑩
Margaret Yim,嚴翊樺
Melody Sze,史韶韻
Lily Yeung,楊莉莉
Zhao Yingna,趙瀅娜
Leslie Ryang,梁文瑄
Alice Rosen,羅舜詩
George Bizet,比才
Dans l’air,煙雲飄（選自《卡門》）
Léo Delibes,德利布
Camille Saint-Saëns,聖桑
Apparition,幻象
Richard Strauss,史特勞斯
Breit uber mein Haupt,你披在我頭上的黑髮
Jules Massenet,馬斯奈
Erich Wolfgang Korngold,康爾德
Francesco Cilea,契萊亞
Ben Moore,摩爾
The Audience Song,觀眾之歌
Heitor Villa Lobos / Dave Grusin / Lee Ritenour,維拉 - 羅伯斯／古申／尼庭挪
Franz Schubert／Peter Dickinson,舒伯特／狄更斯
Hark Hark the Lark,聽那雲雀
Giuseppe Verdi,威爾第
Merce,謝謝
Giacomo Puccini,普契尼
Cynthia Wong,黃旨穎
I Have a Love(委約作品,我有一個戀愛(委約作品
世界首演),世界首演)
Paul Jarman,渣爾文
Volta do mar Largo,揚帆起航
Pietro Mascagni,馬斯卡尼
Li Si-Lai,Li Si-Lai
Nok Lo,Nok Lo
Wong Kin-yu,黃健羭
Felix Yeung,楊欣諾
Anne Lam,林芍彬
Jessie Lau,劉潔芝
Widor,維多爾
V. Toccata),
Dupré,杜普雷
Variations sur un Noël,聖誕頌歌變奏曲
Vierne,維央
V. Final),V. 終章)
Stanley Yeung,楊帆
Wang Guo-Tong,王國潼
Ray Wong,王憓
The Butterfly Lovers (GaoHu Concerto),梁祝(高胡協奏曲)
Reflections of the moon on the water,二泉映月
Fishermen’s Nocturne (Erhu Duet Debut),音畫—漁舟唱晚(二胡二重奏．新編首演)
Nostalgia,鄉愁
Dream,夢
Samuel Barber,塞繆爾．巴伯
Adagio for Strings,弦樂柔板
Pietro Mascagni,皮埃特羅．馬斯卡尼
Kwok-ning Chan,陳國寧
Richard Rodgers,Richard Rodgers
Zoltan Kodaly,Zoltan Kodaly
Turot Eszik A Cigany,Turot Eszik A Cigany
Mary Lynn Lightfoot,Mary Lynn Lightfoot
You raise me up (Arrg by Christopher Hussey),You raise me up (Arrg by Christopher Hussey)
John Rutter,John Rutter
For the beauty of the earth,For the beauty of the earth
月光光(陳永華編曲),月光光(陳永華編曲)
牧歌(翟希賢編混聲合唱,牧歌(翟希賢編混聲合唱
張以逹改編童聲合唱),張以逹改編童聲合唱)
中國之歌(黃學揚編曲),中國之歌(黃學揚編曲)
全然向祢,全然向祢
Arr. by Thomas B. Pitfield),Arr. by Thomas B. Pitfield)
J. M. Martin,J. M. Martin
Love is... (Arr. by Chan Chin Yeung),Love is... (Arr. by Chan Chin Yeung)
Alan Menken,Alan Menken
Re-arr by Chan Chi Fung),Re-arr by Chan Chi Fung)
Janet Gardner,Janet Gardner
Star Dance,Star Dance
豆芽國,豆芽國
Andy Beck,Andy Beck
