Eng,Chi
Lam Qua,李傑
Lee Kit,Len Lye
Len Lye,馬六明
Ma Liuming,Fionnuala McHugh
Fionnuala McHugh,
Bernd Behr,白伯恩
Natalia Sui-hung Chan,洛楓
Oscar Chan Yik Long,陳翊朗
Yin-Ju Chen,陳瀅如
George Chinnery,喬治‧錢納利
Megan Cope,梅根‧哥本
Dung Kai-cheung,董啟章
Larry Feign,方南理
Katsushika Hokusai,葛飾 北斎
James T. Hong,洪子健
Im Heungsoon,Im Heungsoon
Rustam Khalfin,Rustam Khalfin
Kim Kyungman,Kim Kyungman
Takiji Kobayashi,小林 多喜二
Irene Kopelman,依蘭娜‧科佩曼
Firenze Lai,黎清妍
Lam Qua,林官（關喬昌）
Jeonglok Lee,李貞樂
Lee Kit,李傑
Len Lye,連恩．萊
Ma Liuming,馬六明
Fionnuala McHugh,費歐努娃拉．麥修
Moe Satt,莫．沙
Josef Ng,伍尚怡
Lygia Pape,麗吉亞．佩波
Site Art Criticism Class 2003,Jina Park
Jina Park,阿比查邦‧委拉斯塔古
Apichatpong Weerasethakul,王浩然
Adrian Wong Ho-Yin,黃漢明
RIcky Yeung Sau-churk,Yi Chong-jun
Yi Chong-jun,楊嘉輝
Samson Young,進念‧二十面體
Zuni Icosahedron,胡恩威 & 林奕華
Mathias Woo & Edward Lam,
Fung Chi-ming,馮志明
Ho Ka-fai,何家輝
Seeman Ho,二犬十一咪
Li Chi-tak,利志達
Justin Wong,黄照達
61Chi,61Chi
Sean Chuang,小莊
Amin Lee,李勉之
Push Comic (Ah Tui),阿推
Ahn Zhe,安哲
Fernanda Brunet,
Li Qiang Sheng,李薔生
Muchen and Shao Yinong,
Edith Cheung,張西美
ESKYIU,ESKYIU
Bovey Lee,李寶怡
Milk Design,Milk Design
MIRO,MIRO
Stanley Wong,又一山人
Zhang Gong,張弓
Tina Buchholtz,
Xue Mo,
Willi Siber,
Carmen Ng,
ay Ku,
Wang Xiaoluo,
Brainrental,
Vincent Ip,
MA Yuh-Hung,展品藏家: 馬毓鴻
Mike,
Collector of the Hong Yuan Collection,
Orlando Campbell,
Chang Tze Hin,張梓軒
Cheng Ting Ting,鄭婷婷
Kan Ka Kin,簡嘉健
Kwong Man Chun,鄺萬春
Chung Seoyoung,
Erica Lai,
Morgan Wong,
Chen Wenbo,
Chen Xiaoyun,
Colin Chinnery,
Jiang Zhi,
Kan Xuan,
Liu Wei,
Qiu Zhijie,
Shi Qing,
