Eng,Chi
Sohan Qadri,
Hiroshi Senju,
Merrill Wagner,
Lee Waisler， Susan Weil,
Alberto Giacometti,賈科梅蒂
ADA CHAN,
ELIZA CHENG,
EMILY ELDRIDGE,
JESSICA CHEUNG,
JOAN KWAN,
MARIA ISABEL PARRA,
RAINBO,
SUSAN YEUNG,
Tang Ying Chi and Tang Ying Mui,
Shuhei Yamada,山田周平
Yang Dongxue,楊冬雪
Ye Linghan,叶凌瀚
Yip Kin Bon,葉建邦
Yoshikawa Masamichi,吉川正道
Shi Jisong,史金淞
Xiang Yun,項云
Zinaida Gayduk,
Au Wah-yan,區華欣
Steve Hui,許敖山
Vee Leong,馮程程
,伍韶勁及黃鴻飛
Kingsley Ng and Wong Hung-fei,
,陳雅雯
,黎慧珊
,台灣畫家：劉國松
,李君毅
,林象元
,蘇玄德
,簡淑品
,連  瑜
,許秀蘭
,莊淑珍
,林識容
,江麗香
,吳佩華
,陳宜芬
,林麗姬
,羅志英
,吳清川
,劉振富
,張梅香
,楊  喆
,李裘廸
,劉美齡
,羅睿琳
,冼  紈
,文鳳儀
,余妙仙
,大陸畫家：尹  毅
Community,民間
Selina Pui San,謝佩珊
,秦風
,許恩琦
,張根起
,唐秉耕
,成龍
,甄子丹
,洪金寳
,曾志偉
,林子祥
,鄭秀文
,鍾鎮濤
,任達華
,孫儷
,吳奇隆
,鄭中基
,古天樂
,方中信
,杜德偉
,鄭裕玲
,陶傑
,佘詩曼
,洪天明
,鄧麗欣
,張敬軒
,雷頌德
,林嘉欣
,陳國坤
,江欣燕
,葉蘊儀
,衛蘭
,鄭文雅
,森美
,鍾舒漫
,黃長興
,Super Girls
,小肥
,黎瑞恩
,袁潔瑩
,方力申
,池森暢昌
,森榮喜
,王明明
,王子江
,王紹波
,石 齊
,石 晶
,葉 峰
,劉大爲
,劉光達
,劉 瑤
,米春茂
,伍家賦
,宋 滌
,宋維成
,馮大中
,馮長江
,江立峰
,何家英
,沈道鴻
,吳盛源
,邢誠愛
,李長田
,許 勇
,蘇維賢
,林德才
,楊延文
,龐泰嵩
,鄒 莉
,趙准旺
,張 步
,張 廣
,張 朋
,段 煉
,姜寳林
,姜志峰
,徐 希
,秦 龍
,秦天柱
,梁 岩
,梁連生
,彭先誠
,雷 玲
,熊 海
,薛 亮
,瞿 勇
,陳成球及香港及中國畫家
,歐陽乃沾
,黃金
,廖井梅
,蕭滋
,韓秉華
,馮漢榮
,張耀生
,陳祖恩
,黃仲民
,余錦山
,劉家儀
,張若瑟
,蘇敏儀
,陳家義
,麥少峯
,吳樹倫
,林斯玲
,鍾志仁
,韋勁敏
,李漳瑞
,趙文錦
,謝潤球
,趙志軍
,黃佩賢
,戴繼志
,陳俊
,杜小同
,郝世明
,李威
,潘汶汛
,孫浩
,徐華翎
,徐加存
,祝錚鳴
,許伯夷
,洪根深
,陳陽熙
,簡品淑
,林識榮
,劉國興
,王家農
,香港畫家：梁棟材
,大陸畫家：白  海
,董萍實
,楊曉村
,尹  毅
,劉子建
,王天德
,來自日本的SAORI 手織藝術 (SAORI Weaving) 創立人城美紗鷗老太太，於40多年前創立SAORI手織藝術，用新的思維方法，提倡「不教不練只引導，無樣板亦無針法。尋找自我，放膽冒險。」讓自我表現能得到實現，不受拘束，依據自己喜歡的樣子，自由奔放地编織。
,SAORI編織是特別的藝術，強調個性，和機器大量生產的布疋大大不同。SAORI同時重視感性，銳意把感性運用到手工編織之中。此外，SAORI亦致力支援殘疾人士的藝術發展
,協助發展中國家的殘疾人士，為他們創造就業機會和開發編織製成品的市場，令他們在社會上
,經濟上自立。
,根據日本的經驗，SAORI手織，尤其吸引自閉症人士，當今著名的SAORI  Creator，如大崎裕久先生及濱口友和先生，均為自閉症人士，他們接觸了SAORI，被SAORI手織的創意和自由奔放所迷到，將SAORI手織溶入生命之中。作品之多，作品之美，是普通人不能做到的，令人感動，令人讚嘆...
Grand So,蘇五雲
Pinky Wong,黃穎嫻
Suzanne Lau,劉瑞如
Fallon Wong,黃樂蓉
,二十五位奧地利當代藝術家
,山中遊子
Kevin Cheng,鄭啟文
,陳鏡田
Tim Braden,
Tommy Clarke,
Shannon Finley,
Lothar Götz,
Yelena Popova,
Please refer to the Chinese Version,鄭先生
YE SEN,葉森
DOMAT,多磨建社，謝錦榮，蕭國健，蘇國堅
Tse Kam Wing Kenneth,
Siu Kwok Kin Stanley,
So Kwok Kin,
Makoto Taniguchi,谷口真人
Stern Rockwell,請參閱英文版本
Chow Wai Ho,周偉豪
Chris,郭家豪
Kwok Ka Ho,林淦鈞
Chris,劉天麟
Lam Kam Kwan,曾永楷
Lau Tin Lun,黃嘉豪
Dick,姚偉之
Tsang Wing Kai,
Leo,
Wong Ka Ho,
William,
Yiu Wai Chi,
Brian,
Him Lo,盧樂謙
Cynthia Lam,林月驪
Starkie Mak,麥諾欣
Perry Dino,Perry Dino
Wong Ping,黃炳
Lisa Leung Hing-ling,梁慶齡
WONG WING TONG,王永棠
Chun Wing Yau,秦穎柔
Wu Ching Yi & Yu Wing In,胡靖怡
,庾穎妍
Konstantin Bessmertny,君士坦丁
Eric Fok Hoi Seng,霍凱盛
Ann Hoi,許曉楓
Lai Sio Kit,黎小傑
Cindy Ng Sio leng,吳少英
Pakeong and Nick Tai,百強及戴永寧
Alex Lau,劉雋熙
Alexandro Ng,吳智謙
Aries Wu,胡浚諺
Billy Chung,鍾健華
Carol Tsang,曾綺文
Caryl Cheung,張家瑩
Eva Wong,黃明蔚
Florence Li,李嘉雯
Jesse Lyew,廖仲海
Pat Chong,莊鈞婷
Paula Ng,伍詩婷
Tracy Lam and Randy Ho,林頌文及何浩源
Ayumi Adachi,請參閱英文版本
Stella Zhang,張爽
Wang Keping,請參閱英文版本
Ken Matsubara,
Shi Guorui,
Wang Shugang,
Dora Budor,請參閱英文版本
Aaron Garber-Maikovska,
Pierre Huyghe,
Sean Raspet,
Pamela Rosenkranz,
Lucie Stahl’s,
Contributors include Dan Graham,展出多名藝術家與不同機構合作製作的書袋，包括 Dan Graham 與 Art Metropole（多倫多）
Jonathan Monk,C&G 與亞洲藝術文獻庫（香港）
and Yoko Ono for Art Metropole,Rikrit Tiravanija 與 DIS（紐約）及 East of Borneo （洛杉機）
Toronto,Haegue Yang 及 Lawrence Weiner 與 Latitudes（巴塞隆拿）
C&G for Asia Art Archive and Silas Fong,村上隆與路易威登等。
Hong Kong,
Rirkrit Tiravanija for DIS and Liz Magic Laser,朱珮瑿邀請藝術家
New York,策展人
East of Borneo,藝術書展籌劃人
Los Angeles,印刷及線上書藉出版人參與，包括 Stacey Allan（《East of Borneo》執行編輯）
Haegue Yang and Lawrence Weiner for Latitudes,Savannah Gorton （Friends with Books 策展人
Barcelona,Forever & Today
and Takashi Murakami for Louis Vuitton among many others.,Inc. 聯合總監及策展人）
,David Senior（紐約現代藝術博物館書誌學者）及李綺敏（Spring 工作室總監），一同解讀正在轉變的知識生產及流通模式，以及這種模式如何影響亞洲近代藝術發展，項目成果將刊登於《搜記》。
Chu also invites such artists,
curators,《15份邀請》的其他參與者包括 Zoe Butt
art book fair organisers,Inti Guerrero
and print and online publishers as Stacey Allan,胡昉及張偉
Executive Editor,Marysia Lewandowska
East of Borneo,Walid Raad
Savannah Gorton,Rashid Rana
Curator,楊嘉輝以及亞洲藝術文獻庫成員等。
Friends with Books and Co-Director & Curator,
Forever & Today,
Inc.,
Christina Li,
Director,
Spring Workshop,
David Senior,
Bibliographer,
The Museum of Modern Art,
and others to provide insight into the changing modes of knowledge production and circulation,
and their influence on the recent art of Asia through Field Notes.,
Cheng Tan Shan Sam，Law Ka-name Bosco,鄭丹珊
CC Ling Pui Sze,羅家南
Zhang Xiaoli,凌佩詩
Kong Yuk Yee,請參閱英文版本
Hsiao Chin,請參閱英文版本
Carmen Ng,Carmen Ng
Monday Blue,Monday Blue
Run Run,跑跑
Takahide Komatsu,
Xu Songbo,
Phil Akashi,
Pang Yongjie,
Myoung Jo Jeong,
Ji Sook Park,
Lin Yan,林延
Wei Jia,韋佳
Cai Hui,蔡回
Hu Xiangqian,胡向前
Huang Xiaopeng,黃小鵬
Kao Chung-Li,高重黎
Meiro Koizumi,小泉明郎
Lai Chih-Sheng,賴志盛
Liao Guohe,廖國核
Song Ta,宋拓
Inga Svala Thorsdottir and Wu Shanzhuan,英格•斯瓦拉•托斯朵蒂爾與吳山專
Wong Wai Yin,黃慧妍
Yang Jiechang,楊詰蒼
Zhang Peili,張培力
Zhou Tiehai,周鐵海
Ai Weiwei,請參閱英文版本
Asco,
Bernd Berhr,
Natalia-Sui-hung Chan,
Oscar Chan Yik Long,
Yin-Ju Chen,
George Chinnery,
Megan Cope,
Sergio de La Torre,
Dung Kai-cheung,
Larry Feign,
James T. Hong,
Rustam Khalfin,
Henry Kiyama,
Irene Kopelman,
Firenze Lai,
Lam Qua,
Dorothea Lange,
Len Lye,
Ma Liuming,
Fionnula McHugh,
Moe Satt,
Josef Ng,
Nguyen Tan Hoang,
Yoshua Okón,
Pak Sheung Chuen,
Lygia Pape,
Para,
Site Art Criticism Class 2003,
Anand Patwardhan,
Raymond Pettibon,
Jack Spicer,
Kevin Killian,
Shooshie Sulaiman,
Apichatpong Weerasethakul,
Ming Wong,
Ricky Yeung Sau-churk,
Zuni Icosahedron,
Ki Wong,黃淑琪
Nadiah Bamadhaj,請參閱英文版本
Cheong Kah Kit,
Heman Chong,
Choo Keng Kwang,
Vincent Leong,
Lim Mu Hue,
Lim Yew Kuan,
Nguan,
SKEW Collaborative,
Mona Vatamanu & Florin Tudor,
Green Zeng,
Tom Gidley,湯姆．吉德利，三人藝術家組合Troika (伊娃．里基，康尼．弗里爾 及 塞巴斯蒂安．諾埃爾)
Troika(Eva Rucki,伊莎貝爾·諾蘭
Conny Freyer,
Sebastian Noel,
Isabel Nolan,
Ali Esmaeilipour,請參閱英文版本
Darvish Fakhr,
Jamshid Haghighat Shenas,
Farsad Labbauf,
Mohsen Jamalinik,
Lam Wai-kit,林慧潔，劉衛，羅玉梅，盧婉雯，王禾璧，姚妙麗
Lau Wai,
Law Yuk-mui,
Lo Yuen-man Yvonne,
Wong Wo-bik,
Yiu Miu-lai Joe,
Dawei Dong,
Cheung Yee,
Kenneth Tsang,曾皿堅
Michal Macku,請參閱英文版本
Angela Glajcar,
Marc Lepilleur,
Rainbow Tse,Rainbow Tse
Stella Tsoi,蔡心怡
Zhang Xiao,張曉
Martin Lever(Li Wah),請參閱英文版本
Yang Xiaojian,楊小健
Shao Yan,邵岩
Adriana Varejao,請參閱英文版本
Waldemar Kolbusz,請參閱英文版本
Emily Au-yeung,歐陽慧娜
Libby Chan Lai-pik,陳麗碧
Sophia Cheng,鄭淑貞
Chong Yi-kei,莊依琪
Chui Pui-chee,徐沛之
Moon Fu,符秋月
Joey Leung,梁孝儀
Winnie Leung,梁詠欣
Otto Li,李天倫
Winky Ng,吳暹珠
Dodo Pun,潘小宇
Wini Wat Wing-yin,屈穎妍
Wong Chung-yu,黃琮瑜
Fion Wong,王無姿
Vickie Wong,黃瑋琦
Sandy Wong,黃影珊
Yung Hoi-sun,翁凱生
Joyce Chan,陳曉肜，陳柏泉，張文才，張子軒，賴韋林，劉彥秋，丁可兒，黃嘉瀛，黃欣賢
Chan Pak-chuen,
Hubert Cheung,
Cheung Tsz-hin,
Lai Wai-lam,
Lau Yin-kan,
Chloe Ting,
Wong Ka-ying,
Rachel Wong,
Eric Baudart,艾域克·柏達
Alberto Reguera,羅拔圖·雷古拉
Leung Mee-ping,梁美萍
Chow Chun-fai,周俊輝及創作團隊 CoLAB × 好地地
and the CoLAB x SLOW art group,
Katsutoshi Yuasa,請參閲英文版本
Alessandro Carboni,
Yan Yung,翁德恩
Argi Chang,張宗舜
Matthieu Ricard,請參閱英文版本
Olivier Follmi,
Carol Cheng,鄭珈洛
Chau Intuon,周姍祐
Lam Ho Yin,林浩賢
Law Chun Ho,羅縉壕
Law Yan Lui,羅欣蕾
Lily Leung,梁晶瑩
Wong Ka Yan,王嘉欣
Yuen Nga Chi,袁雅芝
Andre Brasilier,請參閱英文版本
Andy Chan,陳志強
Ann Veronica Janssens,
Tsang Ye-ye,請參閱英文版本
Mathias Woo,胡恩威
Arik Levy,艾瑞克‧拉維
Armando Rabadan,請參閱英文版本
Feng Hao (PRC),請參閱英文版本
Chelpa Ferro (Brazil),
Phoebe Hui (HK),
Eli Keszler (US),
Jacob Kirkegaard (Denmark,
Germany),
Sergei Tcherepnin (US),
Feng Hao,請參閱英文版本
Rie Nakajima,
Sergei Tcherepnin,
Rie Nakajima,請參閱英文版本
Vladimir Ganin,Vladimir Ganin
Trevor Yeung and Zhang Xiao,楊沛鏗及張曉
Huang Rui,請參閱英文版本
Ko Siu Lan,
Ko Siu-lan,
June Ho,何幸兒
Yu Pui-shan,余佩珊
11 artists from Jockey Club Creative Arts Centre,
Chloe Ho,何鳳蓮
Stella Zhang,請參閱英文版本
Jiang Chuan,
Francois Brument and Sonia Laugier,Francois Brument and Sonia Laugier
Fabraft Design Lab,衍象設計，Luke Jerram
Luke Jerram,許迅，Younghui Kim
Eddy Hui,林欣傑
Younghui Kim,Kim Lam
Keith Lam,LIA
Kim Lam,Gerard Rubio
LIA,王天仁
Gerard Rubio,
Wong Ting Yan,
Leng Hong,冷宏
Wucius Wong,
Map Office,
Ho Sin-tung,
Song Dong,
Zhang Xiaogang,
Anrea Chung,鍾卓君，陳志強，翟震霖，Elaine Chiu
Andy Chan,莊鈞婷，陳紫君，水禾田
Calvin Chak,
Elaine Chiu,
Pat Unique,
TK Chan,
Water Poon,
Georg Baselitz,請參閲英文版本
Max Beckmann,
Gunther Forg,
Imi Knoebel,
Heinz Mack,
Ernst Wilhelm Nay,
A.R. Penck,
Sigmar Polke,
Gerhard Richter,
Dirk Skreber,
Gert and Uwe Tobias,
Rosemarie Trockel,
Ni Haifeng,倪海峰
ZHANG Guo Ning,
Amanda Cheng,鄭㬢文，莫頌靈，沈寬，葉啟俊
Jolene Mok,
Foon Sham,
Yip Kai Chun,
Sim CHAN,陳閃
Halley CHENG,鄭哈雷
CHIU Yin Man Dabie,趙燕雯
Homan HO,何文聰
KO Tin Yan Celia,高天恩
KWONG Man Chun,鄺萬春
LAW Ka Nam Bosco,羅家南
LING Pui Sze CC,凌佩詩
Local Studio HK,本土工作室
LUNG Yuet Ching Joyce,龍悅程
NG Kwun Lun Tony,吳觀麟
Esther POON,潘淑嫻
SIU Kwok Kin Stanley,蕭國健
Damon TONG,唐偉傑
Cam WONG,黄麗茵
WONG Shun Chi Vanessa,黃舜之
WONG Yin Kwan Queenie,黃燕君
YUEN Ka Yee Angela,阮家儀
Bae Joon Sung,請參閱英文版本
Duncan Campbell,請參閱英文版本
Lia Forslund & Franek Wardynski,
Ximena Garrido-Lecca,
Han Ishu,
Toril Johannessen,
Gabriel Kuri,
Heidi Voet,
Hannes Zebedin,
Balthus,Balthus
Beatriz Mihazes,比特利茲•米拉塞斯
Beatriz Milhazes,
Tung Wing-hong,董永康
Samson Young,楊嘉輝
L sub,L十
Li Xinping,李新平
Chen Shuxia,陳淑霞
Bernard Buffet,請參閱英文版本
Regina HO Yee Man,何綺雯
Lin Guocheng,請參閱英文版本
Suo Yutong,請參閱英文版本
Francis Yu,余偉聯
Li Dezhuang,李德莊
Sun Guangyi,孫廣義
Katie Cheung,請參閱英文版本
Zau Zeon Seng Ngoi,請參閱英文版本
鄭哈雷,Halley Cheng
梁思鳴和楊嘉輝,Gabriel Leung and Samson Young
Karina Wisniewska,請參閱英文版本
Luca Cruzat,
Michal Macku,
Phaneendra Nath Chaturvedi,
Udo Noger,
Wang Keping,王克平
Huang Rui,黄锐
Chou Autumn,麥秋，陳沁昕，方琛宇，黎振寧，黃文欣
Tap Chan,
Silas Fong,
Lai Chun Ling,
Wong Man Yan,
Chu Ngoc Toan,請參閱英文版本
Anastassia Katafygiotis,
Irina Surikova,
Filatov Vladimir Nikolaevich,
Kojiro,Kojiro
Gade,
Ho Siu-kee,何兆基
Ivy Ma,馬琼珠 . 文美桃 . 尹麗娟 . 葉建邦
Man Mei To,
Yip Kin Bon,
Ng Hon-hei Terry,吳漢曦
Lu Yang,陸揚
Shi Zheng,施政
Choi Sai Ho,蔡世豪
Show Chun Fai,周俊輝
Birdy Chu,朱迅
DDED,DDED
Silas Fong,方琛宇
Valery Grancher,Valery Grancher
Linda Lai,黎肖嫻
Jo Law,羅頌雅
Law Yuk Mui,羅玉梅
Map Office,古儒郎
One Letter Horse,林海華
Joao Vasco Paiva,一字馬
Ellen Pau,JoaoVascoPaiva
Angela Su,鮑藹倫
Kacey Wong,徐世琪
Wong Ping,黃國才
David Blandy,黃炳
Lucy Clout Anita Delaney,David Blandy Lucy Clout
Benedict Drew Rachel Maclean,Anita Delaney
Ben Rivers Daniel Shanken,Benedict Drew
Marianna Simnett,Rachel Maclean
,Ben Rivers
,Daniel Shanken
,Marianna Simnett
Bouie Choi Yuk Kuen,蔡鈺娟
Catkaling,請參閱英文版本
Wong Kwok Chung,黃國忠
Valay Shende,請參閱英文版本
Daido Moriama,森山大道
Vivien Zhang,
John Aiken,莊藝勤
Kurt Chan Yuk Keung,陳育強
Luke Ching Chin Wai,程展緯
Jaffa Lam Laam,林嵐
Ivy Ma King Chu,馬琼珠
Fracis Yu Wai Luen,余偉聯
CHENG,鄭哈雷 黃丹 彭劍 彭薇 章燕紫
ALLEY  HUANG DAN  PENG JIAN  PENG WEI  ZHANG YANZI,
,陳雪珍
,陳慧芷
,梁嘉琪
,謝依婷
,謝文慧
,蘇美莉
,李燕安
,黃杏婷
,黃錦如
Bill Viola,比爾·維歐拉
Elizabeth Murray,伊麗莎白·默里
James Turrell,詹姆斯·特瑞爾
Sol LeWitt,索爾·勒維特
Keith Tyson,基思·泰森
Xiao Yu,蕭昱
Vik Muniz,維克 穆尼斯
Tang Kwok Hin,鄧國騫
Fu Baoshi,傅抱石
Wu Guanzhong,吳冠中
Sanyu and more,常玉及更多
Chiyu Uemae,Chiyu Uemae
Chris Cheung,張銳焯
Chris Huen Sin Kan,
Julian Oliver ( New Zealand,
Björn Schülke (Germany),
Adam Harvey (USA),
Vann Lp,請參閱英文版本
Leo Wong Chun-yam,
Claire Lee & Régis Gonzalez,李美蓮＆Régis Gonzalez
Claudio Parmiggiani,Claudio Parmiggiani
Nicolas Vial,請參閱英文版本
several young artists,
Guan Donghai and Li Zhenning,東海與李振寧
Cuson Lo,咳神
Toe Yuen,袁建滔
Ping Pong (Sarene Chan,乒乓（陳淬清
Vivian Ho,何博欣
Corn Ho,何淑美
Liu Si,劉思
Lo Hin-kit,勞顯傑
Nykie Ngan,顏嘉瑤
Overloaddance,超載舞步
So Wai-lam,蘇瑋琳
Leumas To,杜翰煬
Wong Sze-chit,黃思哲
Aiko Narissara Yeung),楊馥甄）
Kam Siu-man,甘小文，胳肋文
Galaman,
Elphonso Lam,請參閱英文版本
Rainbow Leung,
Khoo Fuk-lung,邱福龍
Bo Law,請參閱英文版本
Ahko,請參閱英文版本
Ah To,
Bo Law,
Colan Ho,
Justin Wong,
Kam Siu‐man,
Kongkee,
Lai Tat Tat Wing,
Li Chi‐tak,
Mandycat,
Montagut Chuen,
Stella So,
Yeung Hok‐tak,
Zunzi,
Annie Wan and So Hing Keung,尹麗娟和蘇慶強
Tina Buchholtz,Tina Buchholtz
Lu Chuntao,陸春濤
Cai Lei,蔡磊，丁乙，何岸，劉韡，徐渠，徐小國，徐震，顏磊，張慧
Xu Qu,
Xu Xiaoguo,
Xu Zhen,
Yan Lei,
Patty Chang,張怡
Rocco Yim,嚴迅奇
CoLAB,CoLAB + 非常香港
Officiating guests:,請參閱英文版本
Gerald Bast,
President of University of Applied Arts,
Arthur Ellis,
Provost of City University of Hong Kong,
Claudia Reinprecht,
Consul General of the Republic Austria in Hong Kong and Macao,
Chair Professor,
School of Creative Media,
City University of Hong Kong,
Tay Bak Chiang,請參閱英文版本
Ryota Unno and Myung Nam An,
Jaffa Lam,
Angel Hui,
Stanley Siu,
Chan Wing Sang,
Lau Chi Chung,
Eve Leung,
Wong Chak Hung,
Artist Commune,香港藝術公社
Gum,阿金
Olga Larionova,請參閱英文版本
Olesya Svirskaya,
Daniel Lau,劉澤光
PatUnique,莊鈞婷
Zhang Dawo,張大我
Bob Yudhita Agung,
MEDIA X MUMM,
Sin Sin Man,
Hanafi,
Rick Lewis,
Olga Chernysheva,
Moyra Davey,
Sevdet Erek,
Job Koelewijn,
Jewyo Rhii,
Jin Shan,金閃
Peng Yu,孫原
Sun Yuan,彭禹
Ma Yujiang,請參閱英文版本
Milena Bonilla,
Kasper Bosmans,
Raimundas Malašauskas,
Toshie Takeuchi,
Luisa Ungar,
Yu Honglei,
Dexter Dalwood,
Designer: Olivia Putman,請參閱英文版本
Artist List: Xiaohua,
Tian Wei,
Wang Aijun,
Foral Designer: Maurice Chia,
KS,KS
Wu Yi,吳毅
Dominique Stroobant,請參閱英文版本
Donna Tam,譚倩婷
Frobes Francis Chung,鍾承佑，林昍
Mable Lam,
Liu Hong Wei,劉宏偉
Damon Tong,請參閱英文版本
Silvia Chan,陳璟珮，張慧君
Jessica Cheung,
Yuan Goang Ming,袁廣鳴
Lai Chun Ling (Dick),黎振寧
Lai Wai Yi (Monti),黎慧儀
Tang Ying Chi (Stella),鄧凝姿及鄧凝梅
Tang Ying Mui (Grace),
Jacky Tsai,
Kazuma Koike,小池一馬
Bode Chiu and Nicole Fung,朱葆迪和妙霖
15 graduates,15位畢業生
Pavel Brat,Pavel Brat
BUNACO,請參閱英文版本
Delia Chien,錢迪勵
Nick Walker,請參閱英文版本
Juan Ford,胡安·福特
Jiang Chuan,姜川
Qin Wen,朱毅勇
Yao Lu,秦文
Zhu Yiyong,姚璐
Erich Lessing,埃里希‧萊辛
Sheung Chun-ho,常宗豪
Etel Adnan,伊黛爾‧阿德楠
Golnaz Fathi,請參閱英文版本
Troika - Eva Rucki,伊娃·裡基 (德國)
Conny Freyer,康尼·弗裡爾 (德國)
Sebastien Noel,塞巴斯蒂安·諾埃爾 (法國)
Oliver Payne,請參閱英文版本
Kim Robinson,請參閱英文版本
Choi Wing Yan,蔡詠欣
Hui Hoi Kiu,許開嬌
Lam Hau Yi,林巧兒
Wong Yuen Ying,王琬瑩
Yeung Hoi Ning,楊凱寧
Howard Tan,請參閱英文版本
Goh Hun Meng,
Proceso Gelladuga II,請參閱英文版本
Pierre Castro,請參閱英文版本
Alina Flame Senchenko,
Agnon Wong,
Kurt Ralske,請參閱英文版本
Fadi Yazigi,請參閱英文版本
Vero Ini,Vero Ini
Virginie de Limbourg,Virginie de Limbourg
Overseas Artists: Philippe Baudelocque(France),請參閱英文版本
Lek & Sowat (France),
Celons Peterson (USA),
Hong Kon: SINIC (HK),
Parent’s Parents(HK),
Barlo(Italy),
WAIS(Russia),
Caratoes(Belgium,
HK(,
Rainer Werner Fassbinder,
Megann Riepenhoff,請參閱英文版本
Freddy Chandra,
Jesse Gottesman,
Paul Clipson,
3812 Contemporary Art Projects: Liu Guocheng,請參閱英文版本
Chen Hongbo,
Wei Qingji,
Liu Zhuoquan,
Kim Robinson,
Olivia Putman,
Philipppe Nacson,
Makoto Fujimura,藤村真
CHING Chin Wai,程展緯
KONG Chun Hei,鄺鎮禧
Sarah LAI,黎卓華
Lewis LAU,劉彥韜
LAW Man Lok,羅文樂
Gabriel LEUNG,梁思鳴
Otto LI,李天倫
Annie WAN,尹麗娟，黃麗茵以及黃榮法
Cam WONG and Morgan WONG,
Carsten Schael,Carsten Schael
John Fung,馮建中
Terry Duckham,Terry Duckham
Hiroshi Hara,
Myonghi,明姬
JEREMY EVERETT,傑里米・埃弗雷特
Fong Chung-Ray,馮鍾睿
Annie Leibovitz,Annie Leibovitz
Hiroshi Senju,Hiroshi Senju
Zhao Haitien,趙海天
Robert Motherwell,請參閱英文版本
Lee Ufan,請參閱英文版本
Kim Whan-Ki and Rhee Seundja,
Bui Cong Khanh,請參閱英文版本
Cheung Yee,張義
Lauren Matsumoto,請參閱英文版本
Slavs and Tatars,斯拉夫及韃靼
Freeman Lau,劉小康
Frog King,蛙王郭孟浩
Fu Tso Hsin,
Chris Shen,請參閱英文版本
Chris Shen,
Fong Chung Ray,請參閱英文版本
Stella Zhang,
Zhu Yiyong,
Qin Feng,
Jiro Yoshihara,吉原治良
Shozo Shimamoto,嶋本眧三
Katsuo Shiraga,白髮一雄
Tsuyoshi Maekawa,前川強
Atsuko Tanaka,田中敦子
Sadamasa Motonaga,元永定正
Chiyu Uemae,上前智祐
Aine Kinashi,木梨AINE
,嶋本昭三
,草間彌生
,上前智祐
,前川強
,鷲見康夫
,名坂有子
Zao Wou-Ki,請參閱英文版本
Chu The- Chun,
T&#39,
ang Haywen,
Hsiao Chin,
Chu Teh-Chun,朱德群
Hsiao Chin,蕭勤
Kazuo Shiraga,白髮一雄
Pierre Soulages,Pierre Soulages
Bernar Venet,Bernar Venet
Zao Wou-Ki,趙無極
Garth Weiser,
Terry BATT,泰利.百特
Casper CHAN,陳曉筠
Clement CHAN (convenor),陳偉邦(召集人)
Kurt CHAN,陳育強
Y.J. CHO,卓有瑞
CHOW Chun Fai,周俊輝
CHUNG Tai Fu,鍾大富
Alex HEUNG,香建峰
Ivy IP,葉佩玲
Steven LEUNG,梁文豪
Virginia LO,盧文謙
Ivy MA,馬琼珠
Francis YU - See more at: http:,余偉聯
ava.hkbu.edu.hk,
2015,
03,
gaze-of-sins,
#sthash.NAyk4EEq.dpuf,
Makoto Aida,會田誠，文晶瑩，SPUTNIKO!，五十嵐惠，陳美彤，梁志剛，林愷倩， (Group) ROBOT，鈴木涼子，黃嘉瀛
Man Ching-ying Phoebe,
SPUTNIKO!,
Megumi Igarashi,
Chan Mei-tung,
Michael Leung,
Lam Hoi-sin,
(Group) ROBOT,
Ryoko Suzuki,
KY Wong,
Genevieve Chua,蔡艾芳
Mariano Ferrante,請參閱英文版本
Lam Siong Onn,藍祥安
Georg Baselitz,喬治．巴塞利茲
CHAN Ching Man,陳正文
Hanison LAU,劉學成
Gum CHENG,鄭怡敏，莫穎詩，陳佩玲，張嘉莉，勞麗麗，謝振聲，黃國才，余佩珊， 謝健華，黃思婷
Vinci MOK,鮑慕紅，蘇詠寶，羅文樂
Peggy CHAN,
Clara CHEUNG,
LO Lai Lai,
TSE Chun Sing,
Kacey WONG,
YU Pui Shan,
Galen TSE,
Joephy WONG,
Chole PAU,
SO Wing Po,
LAW Man Lok,
Marcel Broodthaers，Danh Vo，何翔宇，Alfredo Jaar，Regina Jose Galindo，關尚智&黃慧妍，黎卓華，Prabhakar Pachpute，School of Zanabazar,Marcel Broodthaers，Danh Vo，何翔宇，Alfredo Jaar，Regina Jose Galindo，關尚智&黃慧妍，黎卓華，Prabhakar Pachpute，School of Zanabazar
Gago Chtchyan,請參閱英文版本
Martha Zuik,
Lam Hoi Sin,請參閱英文版本
Yoshihiro Kikuchi,
Shuhei Yamada,
Ho Siu-nam South,何兆南
Chang Chao-Tang,請參閱英文版本
H.T. Chen,
Choi Boong-hyun,
Chuang Ling,
Kim Gulim,
Hi Red Center,
Hsu Boyun,
Huang Huacheng,
Jeong Gang-ja,
Kang Guk-jin,
Ku Chong-kuang,
Li Tai-hsiang,
Ling Ming-sheng,
Wai-lim Yip,
Yoko Ono,
Zero Dimension,
Norio Imai,請參閱英文版本
Maekawa Tsuyoshi,請參閱英文版本
Motonaga Sadamasa,
Shiraga Kazuo,
Tanaka Atsuko,
Uemae Chiyu,
Yoshihara Jiro,
Hajime Sorayama,空山基
YEH SHI-CHIANG  LUIS CHAN DUO,葉世強 陳福善
Wong Chun Hoi,王鎮海
Harumi Yamaguchi,
Marc Adamus,請參閱英文版本
Evgeni Dinev,
