Eng,Chi
Raquel de la Plaza Hera,拉奎爾‧帕勒扎胡米拉
Jonatan de Luis Mazagatos,喬納坦‧勞奕斯‧馬蕯加杜斯
Ma,馬里安努．拉莫斯
,路奕斯．米格爾．哥布
Enrique Cabrera,恩里克．卡布雷拉
Paul Pui Wo Lee,李沛和
Irene Lo,勞曉昕
Yo Takahira,楊我華
Leo,
IM Seonoc Vide,朴琮訓
,姜耀燮
,權珉贊
,金建中
,金民真
,金智敏
,金蔰延
,都皇周
,朴素靚
,崔敏
Mandy,趙雅羅(南韓)
Frankie HO.,江帆(中國)
JIANG Fan(China),KIM Bong Ho(南韓)
Elaine KWOK,丸仔
yuenjie MARU,廖向民
,毛維
,白濰銘
,胡詠恩
,楊浩
,黑鬼
,邱立信
,梁卓堃
,梁小衛
,曾永曦
,文律元(中國)
,黃仁逵
,葉
Victor,馬才和
Choi-wo MA,
Victor,華琪鈺*
Mandy,黃磊*
LAM Po,李德
LI Yongjing△,馬才和
LI De,莫嫣
Jennifer MOK,楊怡孜
Victor,關繼延
KWAN Kai Yin,
Ale,
Victor,葉彩鳳
Mandy,
Wayson POON,盤彥燊
Victor,Chankethya CHEY(柬埔寨)
Mandy,Lindsey Renee DERRY(美國)
Chankethya CHEY(Cambodia),鹿島聖子(日本)
Lindsey Renee DERRY(USA),勝部知子(日本)
Shoko KASHIMA(Japan),KIM Bong Ho(南韓)
Chico KATSUBE(Japan),古名伸(台灣)
KIM Bong Ho(South Korea),馬才和(台灣)
KU,黎美光(台灣)
,林茹鴻(台灣)
,文慧(中國)
,葉破 文字
Victor,Lindsey Renee DERRY(美國)
Mandy,江帆(中國)
LI Sze Yeung,Olé KHAMCHAN
LI Sze Yeung,
,馬才和
,江帆
,馮炳輝
Mandy,呂沅蔚
Pi,白濰銘
,Pichet KLUNCHUN
Victor,Victor
Mandy,Mandy
BLUE Ka Wing,BLUE Ka Wing
Billy CHAN.,Billy CHAN.
CHAN Hiu Ling,CHAN Hiu Ling
Gabbie,Gabbie
Chankethya CHEY(Cambodia),Chankethya CHEY(Cambodia)
Lindsey Renee DERRY(USA),Lindsey Renee DERRY(USA)
Force FONG,Force FONG
Frankie HO.,Frankie HO.
Chankethya CHEY(Cambodia),江帆(中國)
Lindsey Renee DERRY(USA),KIM Bong Ho(南韓)
JIANG Fan(Shanghai),黎美光(台灣)
KIM Bong Ho(South Korea),林茹鴻(台灣)
Mei LI(Taiwan),文慧(中國)
Victor,江帆
Mandy,李新民
JIANG Fan,劉祝英
LI Xinmin,文慧
WEN Hui L,郭睿
,徐倩
,莊稼昀
WEN Hui,文慧
Yang Hao,金槿映
Geunyoung Kim,楊浩
,馬志遠
Victor,趙雅羅 (南韓)
Mandy,何明恩
Victor,廖向民
Victor,呂沅蔚
Pak-tsai,丸仔
,伍詠豪
,聶曉晴
,黃寶蕾
Ara CHO,趙雅羅
HO Ming Yan,何明恩
Evains LUI,呂沅蔚
MAO Wei,丸仔
yuenjie MARU,伍詠豪
Skinny NG,聶曉晴
Jody NIP,毛維
Ming PAK,白濰銘
WU Wing Yan,黃寶蕾
Janet,胡詠恩
KT YAU,
Ara CHO(KR),趙雅羅
Ming-yan HO(HK),何明恩
Geunyoung KIM(KR),金槿映
Vic,馬才和
Janette Wong(,黃羨晴(17/12)
,黃嵃祺(17/12)
,麥卓鴻(18/12)
,馬志恒
Charfi HUNG(Leaving & Living),孔德瑄〈客廳〉
Anh Ngoc Nguyen(Mother,孔德瑄〈客廳〉
Edm,
Willy TSAO,曹誠淵
Anh Ngoc Nguyen,阮日廣
Gregory Charles Rivers,河國榮
Jonathan Wong Set and Costume Desi,顏素茵
Evains Lui,程偉彬
Rex Cheng,呂沅蔚
LongHin Li,李朗軒
Low Shee Hoe,劉詩豪
Ha Yan Pui,夏恩蓓
Terry Tsang,曾景輝
Natalie Mak,麥琬兒
Tseky Tse,謝甲賢
Waguri Yukio,和栗由紀夫
Bonni Chan,陳麗珠
Hofan Chau,黃碧琪
Rebecca Pik Kei Wong,朱詠家
Anson Lam,林沛濂
Tomas Kh Tse,謝嘉豪
Wilson Chik,戚惠致
Andy Lee,李振宇
Christin,洪俊樂
,楊凱霖
,kani
,歐嘉美
,趙浩賢
,李振宇
,二階堂伊奧
,王少筠
,李文俊
En Gao,二高
(Chinese Only),葉興華
,周詠恩
,林施樂
(Chinese Only),廖慧儀
(Chinese Only),Franco Tsang
Franco Tsang,Franco Tsang
Atsushi Kyan,喜屋武淳
Takeshi Arakaki,新垣健
Yuji Uragami(JP),浦上雄次(日本)
Satomi Toma(JP),當間里美(日本)
Gunjo Kubo(JP),久保群青(日本)
Yu-ching Huang(TW),黃宇清(台灣)
Da,敏迪貝蒂
,何威智
,尹巧茵
,陳嘉儀
,謝佩琪
,蔡煒虹
,蔡媁婷
,施
Calvin Tang,鄧偉豐
Marix Ho,何威智
Ani Wan,尹巧茵
Karen Chan,陳嘉儀
Penny Tse,謝佩琪
Iris Tsoi,蔡煒虹
Joyce Tsoi,蔡媁婷
(Chinese Only),毛維
,何楚雯
(Chinese Only),曾棱尉
,曾棱尉
,劉銘鏗
Joy Womack,Joy Womack
Oleg Ivanko,Oleg Ivanko
Jie Shen,Jie Shen
Naomi Yuzawa,Naomi Yuzawa
Ryo Kato,Ryo Kato
Rui-xue Dong,Rui-xue Dong
Chun-long Leung,Chun-long Leung
Kalinath Mishra Sitar Prajakta,Kalinath Mishra Sitar Prajakta
CHONG Chan PoProducer,李藍施
CHONG Chan Po,莊陳波
Edith Cheung,張婉婷
Kazunori Kumagai(JP),熊谷和德(日本)
Shoko Taniguchi(JP),谷口翔有子(日本)
Masaki Murata(JP),村田正樹(日本)
Soonyoung Kim(KR),金順泳(韓國)
Dance,顏俊豪
,黃安妮
,蔡煒婷
Joyce Tsoi,蔡煒虹
Iris Tsoi,蔡煒婷
Sailo Yau,游家傑（細佬）
Elfin Cheung,張嘉欣
Yip Chan,陳頴業
Sailo Yau,游家傑
Li Ruigang,黎瑞剛
Wu Xiaoming,吳孝明
Xia Guozhu,夏國珠
Tong Ruirui,佟睿睿
Chen Feihua,陳飛華
,程偉彬
(Chinese Only),程偉彬
Marius Petipa,馬裡於斯·佩蒂帕
Vladimir Begichev,比傑謝夫
30PM),佩迪巴
Natalia Potekhi,30PM)
,亞歷山大‧沃廷
Marius Petipa,佩迪巴
Lev Lvanov(1895),伊文諾夫
Scarlette Cheng,鄭慧君
Dai Matsuoka,松岡大
Au Hoi Wa,歐凱樺
,陳頴璇
,叶健明
,梁兆齡
,李雯
,林芷君
,趙鷺燕
,林歡曉
,黃婉華
,張蔓姿
,鄭珞璋
Wu May Bo,胡美寶
KAI-EN,KAI-EN
SU-EN,SU-EN
Lee Berwick,Lee Berwick
LI Han-zhong,李捍忠
ZHAO Jia-pei,陳劍明(原創)
,趙家培
,殷鵬
MA Bo,馬波
(Chinese Only),羅瑋君
,余建宏
,張國韋
,許程崴
,陳映慈
,廖筱婷
,賴儀珊
,曾天佑(原創)
,陳揚(原創)
,劉家明
,劉育寧
(Chinese Only),何曉玫
(Chinese Only),麥強偉
Bobo Lai,黎家寶
LOW Shee Hoe,劉詩豪
Cindy HO Pui-shan,何姗
Phymus Tang,鄧鴻業
Chan Wing-Yip,陳頴業
Coral Lee,白濰銘
Cyrus Hui,李以珊
Felicity Char,查海欣
Kaco Kam,張彩婉
,黃碧琪
,趙穎妍
,蔡敏蕊
,鄧麗薇
,鄺韻儀
Mon Ning,黃碧琪
Pak Wei-ming,趙穎妍
Ronly Kong,蔡敏蕊
Trista Cheung,鄧麗薇
Wong Pik-kei,鄺韻儀
Dominic WONG,黃狄文
Li Ka Man Carman,李嘉雯
Ho Lok Yee Cola,何樂宜
Terry CHAN,陳廷安
Kaori SEKI,關香織
Shiki KITAMURA,北村思綺
Yu GOTO,後藤優
Masashi KOYAMA,小山晶嗣
Kiyotaka SUZUKI,鈴木清貴
Kano YAMADA,山田花乃
Daigo TA,TAKEUCHI Daigo
The Place Movie St,鄭伊涵
,廖健舜
Chien Lin-yi,簡麟懿
Lai Hung-chung,賴翃中
Hsu Chen-wei,許程崴
"""Four legs is good",《四條腿雖好
Locust( Tr,CreativeImageWorx
,勞翠盈
Albert Garcia,艾伯特．加西亞
Claudia Lou,勞翠盈
Mira Lao,劉美樺
"""in",《看
visible (cities),不見(城市)
Wayson Poon,盤彥燊
Caminando(Mapa) – Pokémon GO OST,行走（圖）- 寳可夢/馬克思·維納（基輔
Maxim Werner(Kyiv,李德
Ukraine) Multi,張喜龍
,Kei
Chan Hiu Ling Gabbie,陳曉玲
Pewan,
Mr. Cheung,Mr. Cheung
Jo KANAMORI,金森穰
Dan SU,須長檀(椅子)
Choi Young-hyun,CHOI Young-hyun
Headphonics,Headphonics
"Park Sang Yun   ""Flight"" Choreography and D",JEONG Cheoi in
,TAK Hyeong se
Choi Young-hyun,崔英賢
Jeong Cheolin,鄭哲仁
Lee Kyung-eun,李慶殷
JuRyung JUNG,鄭珠玲
Soyoung CHOI,磪素瑛
Hyewon JO,曺惠元
Hyeji LEE,李惠知
Sunji YOON,尹善知
Jaeduk KIM Props Design,Paulo Cesar Lima
,JANG Kyung Min
,KIM Bo Ram
,LEE Eun Kyung
,SHIN Jae Hee
,LEE Sun Min
Kim Bora,金寶羅
Kim Bo-Ram,金保懢
Ren-ZhongJie,任中傑
Yang-Tao,楊濤
Li-ShiXiong,李世雄
Hou-YuLong,侯玉龍
Wang-ChaoMing,王朝明
Zhang-Qian,張乾
Wang-Chang,王暢
Zhai-RongFang,翟蓉芳
Du-YueJiao,杜月姣
Gao-Rong,高蓉
JiaZen,賈珍
Liang-JingJ,梁晶晶
,周立恆
Xu-YiMing,許一鳴
SIN Seong-hwan,申昇煥
HONG Sung-yop,洪成佑
Li Xing,黎星
Li Chao,李超
Hu Shengyuan,胡沈員
Gong Xingxing,龔興興
Qian Min,錢敏
Li Kun Soun,殷漪
,姜少峰
"""born somewhere",木村玲奈
Reina KIMURA,重里実穂
Miho SHIGESATO,田添幹雄
Mikio TAZOE,遠藤僚之介
Ryounosuke ENDO,bozzo
Yu,小山晶嗣
,川合龙
,木原浩太
,酒井直之
Reina KIMURA,木村玲奈
Un YAMADA,山田云
Hema Set Des,鍾麗儀
,小珂（中國）.周子涵（中國）
Mandy Ming-yin YIM,嚴明然
Xiao Ke,小珂
ZHOU Zihan,周子涵
Hakgwai,黑鬼
Wilson TSANG,曾永曦
WONG Yankwai,黃仁逵
Terry WU,胡釗鳴
Xiao Ke(China),小珂（中國）
Paul YIP,葉破
ZHENG Lingmin(China),鄭靈敏（中國）
ZHOU Zihan(China),周子涵（中國）等
Crystal CHUNG,鍾麗儀
Edmund LEUNG,梁卓堃
Christy MA,馬汶萱
Cybil POON,潘思蓓
Kirstie SIMSON(UK),Kirstie SIMSON（英國）
Jasmin W,黃寶蕾
,葉破及鄭靈敏
Kirstie SIMSON,Kirstie SIMSON
Tong Ruirui (,佟睿睿 《秀色》《夜深沉》《根之雕》
,吳歡《只為途中與你相見》《天浴》《傣家的女兒
,傣家的雨》 《雁北歸》
,謝欣《漫 • 慢》
,羅麗《蒲公英》
,愛情雙人舞》
,徐小平《高原春風》
,韓真《海的追尋》
,趙小剛《上海往事》
,馬東風《康定溜溜情》
Wu Huan,吳歡
Luo Li,羅麗
Zhang Jigang,張繼剛
Xu Xiaoping,徐小平
Han Zhen,韓真
Zhao Xiaogang,趙小剛
Ma Dongfeng,馬東風
,舞與武藝術中心
,張秀芬芭蕾舞學校
,何皓斐*
,霍敏儀
,洪祖冰
,范慶安
,陳軼
,唐鑫
,羅
Ho Ho Fei*,何皓斐
Fok Man Yi,霍敏儀
Hung Tjoe Ping,洪祖冰
Quanette,李佩佩
Lee Pui Pui,張秀芬
Cheung Sau Fan,范慶安
Fan Hing On,陳軼
Chan Yi,唐鑫
Tang Xin,岑智頤
Henry Shum,
Alonzo King,阿隆佐．金
Martin Zimmermann,馬丁‧齊默曼
,陳頴業
,梁皓棕
,張嘉怡
,盧敬燊
Rex Cheng,程偉彬
Raymond WanDeputy Pr,吳立斌
,張天穎
,何樂宜
,洪俊樂
,陳文紈
,周釗洋
,郭智鋒
,李海燕
,Quistography
Olivier Tarpaga,奧利華．達柏加
,克利絲桃．派特
,蘇爾．利昂
,傑夫．巴克利(你和我
Crystal Pite,克利絲桃．派特
Sol Le鏮,蘇爾．利昂
Paul Lightfoot,保羅．賴福特
Marco Goecke,馬可．歌克
Fabrice Bouillon“LaForest”,Fabrice Bouillon“LaForest”
Germaine Acogny,Germaine Acogny
Igor Stravinsky,Igor Stravinsky
Olivier Dubois,Olivier Dubois
Chan Po Kwan,陳溥
,孔君蔚
,顏俊豪
hoyingfung,何應豐
Adrian,毛維
,潘振濠
,黎貴諾
,萱寧(視覺藝術)
,韓梅
,史堅尼
,鄭雅茵
,鍾雪儀
,許玉瑩
,莊敏鈴
,徐筱詠
,徐梓航
,梁芷晴
,顏丹華
,梁立昕
,廖嘉曦
,黃文軒
,陳佩儀
,麥靄琳
,唐浩山
,簡嘉琳
,劉卓姿
,陳瑋嘉
,劉詠茵
,許煒珊
,陳曉玲
Angela Hang Deputy Director,江寶盈
Rock Fang Tutor,徐智庸
Ben Leung,區樂舜
Daan WongHei LAM,梁凱斌
K K Lai,黎嘉琪
Potato Tsui,陳敏聰
Terry Chan,黃凱盈
Ben Leung,江寶盈
Daan WongHei LAM,徐智庸
K K Lai,區樂舜
Potato Tsui,梁凱斌
Terry Chan,黎嘉琪
Trian Kong,陳敏聰
Wilfred Siu,黃凱盈
,蕭啟良
Anthony Street,安東尼．斯特列特
Dagmar Chittka,達格瑪．徹卡
Wim SchermerProduc,基斯．范．普騰
Zhou Liya,劉勵
Zhou Liya,周莉亞
Du Ming Exec,黎星
,李艷超
,孫然
,王閔瑞
,齊奇
,秦立運
,劉鳳恕
,賈雷
Xiong Jian,熊健
,日本舞踏者 MushiMaru Fujieda 藤條虫丸  韓國舞踏者 Lee Mihee 李美喜 日本現場樂手 Gama Oil 中谷豪秀
(Chinese Only),黃瑜軒
,董仲勤
,黃瑜軒
,范嘉駿
,李智觀
,吳嘉其
,歐凱樺
,盧曉峰
,梁潔誼
,黃嘉琪
,梁敏婷
,梁慧賢
,梁逸鉻
,李翠珊
,胡沛瑩
,顏穎欣
,陳樂愉
,林學賢
,史彥庭
(Chinese Only),林芷君
Lee K-ki,李家棋
何慧珊,何慧珊
賴明慧,賴明慧
劉茜殷,劉茜殷
蔡素芬,蔡素芬
馮愷琳,馮愷琳
林嘉盈,林嘉盈
,李潔雯
,陳海嬰
,劉學靜
,林嘉明
,張瑪莉
,鄧淑冰
,廖建倫
,屈鳳賢
,吳寶珊
,許德城
,謝綺雯
,潘詠詩
,余淑慧
,劉桂枝
,蘇安琪
,鄺秀琼
,鄭綺嵐
,謝家欣
,黃
Wayson Poon,盤彥棠
Choi Chung Lim,蔡忠廉
Kingsan Lo,盧敬燊
Han Sun-chun(Korea),韓善泉(韓國)
Wu Yi-san(Taiwan),吳易珊(台灣)
Ng Choi Long,伍在朗
Han Sun-chun,韓善泉
Wu Yi-san,吳易珊
Jennifer Mok,莫嫣
Mamoru Sakata(Japan),坂田守 (日本)
Lee Jung-in(Korea),李廷仁 (韓國 )
Lee Sun-tae(Korea),李宣汰 (韓國 )
Lee Dong-ha(Korea),李東河 (韓國)
林港深,林港深
陳海嬰,陳海嬰
余碧虹,余碧虹
何佩凝,何佩凝
林慧嫣,林慧嫣
張少麗,張少麗
曾麗姍,曾麗姍
何穎詩,何穎詩
劉蔚彥,劉蔚彥
蔡佑,黃碧芬
(Chinese Only),林港深
,余碧虹
,林慧嫣
,張少麗
,曾麗姍
,馮愷琳
,何穎詩
,劉蔚彥
,白志源
,薩拉德
Jean Coralli,科拉里
Jules Perrot,柏洛
Lev Ivanov,佩蒂巴
Marius Petipa,艾化李夫
Jerome Robbins,巴爾達
Ricardo Cue,羅賓斯
Olivier Sarrat,方丹
Jose Martinez,薩拉德
Val Caniparoli,馬天尼斯
Ben Van Cauwenbergh,卡尼柏諾烈
Ivan Favier,卓文伯格
Angelin Prejlocaj,法菲爾
,皮利洛察
David Monceau,蒙徹
Emmanuelle Vo-Dinh,艾曼紐‧汀
Wing Ng,伍頒恩
Anson Yiu,黎嘉恩
Peter Chan,姚安珊
Jack Chung,陳湛文
Hiro Hung,文傑聰
,洪瑞珙
(Chinese Only),萬瑪尖措
May Au,黃茹 舞者 歐嘉美
Re,程偉彬
,鄭凱欣
,譚芷翎
,黃頴欣
,陳慧敏
,康文英
,葉秀菁
,李秀嬌
,劉寶如
,梁麗珍
,施礎傑
,鄧永智 歌手/作曲/填詞/舞者 呂以輝 作曲/編曲/結他 史彦庭 編曲/鋼琴/和聲 范嘉駿 歌手/和聲/音樂創作 李
(Chinese Only),陳意蓉
,鄭翹欣
,張勁業
,錢穎兒
,曹冬兒
,賈亦勤
,劉珊珊
,梁偉軒
,呂以輝
,薛露珊
,曾楚翹
,曾婉琪
,王穎真
,林慧珊
,鄧芷淇
(Chinese Only),肖瀚
,肖瀚
,梁翠茵
,何美玲
,廖綺芬
,黃嘉恩
,邱慧珊
,張詠恩
(Chinese Only),梁翠茵
Lai Tsz Yu（Folding Echoes）,黎子瑜（回聲摺疊）
(Chinese Only),邢亮
,王佳妮
,高誠誠
,鄒鈺文
,胡興東
,譚嘉儀
(Chinese Only),鄧樹榮
