Eng,Chi
Henry Shum,岑智頤
Zhang Xiao-xiong,張曉雄
Cai Ying,蔡穎
LEUNG Ki Fun,梁其芬
LAU Man Fung,劉文鳳
HO HO CHUEN,何浩川
Wong Lam,王林
Ivy & Cai Yi Lei,蔡一磊
Chung Wing Yin,_鍾詠賢
Ivy,
Mabel Fong Sum Wun,方心媛
yuenjie MARU,丸仔
,廖朗沙
Hida Yoshiko(Japan),肥田佳子(日本)
Peggy Wang(Taiwan),王思涵 (臺灣)
Shelly Lo,羅逸雅
Ingrid Sera-Gillet,
Andy Wong,王廷琳
Wong Yiu,王瑤
Eileen Lee,李艾琳
Thomas Sek,石成初
Kaman Poon,潘嘉雯
Arthur Mak,麥沛恆
Leung Wai Man,梁惠雯
Wong Wing Yan,黃穎欣
Eric Ng,吳文基
Ho Pak Chuen,何柏存
Vinci Mok,莫穎詩
Law Yiu Wai,羅耀威
Law Yiu Wai,_羅耀威
Wang Yang,汪陽
Guli Aimaiti,姑再努爾（古麗）．艾買提
Hedy Tang,
Charade Poon,
Stephanie Ma,
Joyce Wong,
Lau Pui Hung,劉佩雄
Hugh,
Lim Wei Wei,林薇薇
Malvina Tam,譚渼樺
Vivian Kwok,郭慧芸
Jovan,
Mandy Ming Yin Yim,嚴明然
Mandy Yim Ming Yin,嚴明然
Ming-shen Ku,古名伸
Victor Ma Choi Wo & Mandy Ming Yin Yim,馬才和
,嚴明然
Waguri Yukio,
Kim Bong Ho and Celine Bacque,
,陳起馨 MH
,穆哈．梅祖基Mourad Merzouki
Anthony Égéa,
Charles Jude,查爾斯．裘德
David Bintley,大衛 賓利
Peter Pabst,翩娜‧包殊
Wang Yuanyuan,王媛媛
Lindsey McAlister OBE,麥蓮茜OBE
JUN MABAQUIAO,
Merce Cunningham,梅西．簡寧漢
Meng Zhexue,孟哲學
,萊德．紐信Lloyd Newson
,Xing Liang
,Jo Leung
,蔡穎Francis Leung
,Cai Ying
,傑曼．哥納侯German Cornejo
Malvina,
Huynh,
Dilinaer Abula,迪麗娜爾．阿布拉
Mark Baldwin,馬克．鮑德溫
Man Yunxi,滿運喜
Roel Voorintholt,羅伊．維連托
Mats Ek (Parken) and Alwin Nikolaïs  (Nikolaïs Celebration),Mats Ek (麥斯．艾克) (Parken) and Alwin Nikolaïs (艾文．尼可萊) (Nikolaïs Celebration)
Feng Ying,馮英
Lin Lee-chen,林麗珍
Chae Hyang Soon,蔡香順
Akram Khan,艾甘‧漢
Thomas Edur,湯馬斯．伊德 CBE
CBE,
Gyula Harangozó,古拉．哈倫格佐
Claudia Moreso,歌迪亞．摩爾素
Tang Shu-wing,鄧樹榮
Xing Liang,邢亮
COTOBATAKUMI,縡芭巧
Shen Wei,沈偉
,甄詠蓓
Anthony Wong,黃秋生
Olivia Yun,甄詠蓓
Madeleine Onne,歐美蓮
Victor Choi-wo MA,馬才和
Victor MA,馬才和
