Name
康樂及文化事務署
大衛．克雷格
羅拔．摩根
天邊外劇場
黃國鉅
陳曙曦
陳偉發
莫蔓茹
馮國基
張惠婷
萬星佑
杜易玲
杜穎淇
趙之維
黃珏基
楊雯思
許晉邦
何康汶
何健汶
歐芷菲
梁嘉進
智行基金會
全聲曲藝同學會
龍貫天
王超群
顧麗芬
周瑞明
《牡丹亭驚夢之幽媾》
劉梓輝
李鳳
《獅吼記之跪池頂燈》
周熾楷
曾榮生
孟錦全
歐翊豪
新港興公司
韋基廣告
夢飛行合家歡劇團
吳肇南
林玉盈
邱頌勳
余健生
吳銳民
岑沅樺
章佩佩
陳重延
盧潔怡
文傑聰
盧卓安
梁浩邦
鄧宇廷
沙田文藝協會
沙田粵劇團
周嘉強
梁沛錦|博士
馮華
趙恩余
李小翠
《小宴》
余麗琪
余麗平
《評雪辨踪》
蔡玉珍
吳煥卿
《海神廟證盟》
梁逸詩
張嬋蘭
《雪夜祭梅妃》
蕭淑芬
鄭德明
張小玲
《百花亭贈劍》
劉婉儀
鄧月麗
鍾兆琼
曾婉兒
周淑儀
黃敬玲
劉珮兒
鄧佩珍
梁瑞卿
黃小玲
陳定邦
曾健文
陳源記
德昌公司
郭雲珠
香港演藝學院
安東尼奧．加迪斯舞蹈團|(西班牙)
安東尼奧．加迪斯
卡洛斯．紹拉
安東尼奧．紹拉
史特拉．阿勞佐
新群英劇藝社
金龍劇團
曾慧
龍玉聲
林群翎
陳鴻進
溫玉瑜
高麗
新劍郎
司馬祥
文俊傑
游龍
彭錦信
陳健一
新群英服裝
新港興舞台製作公司
演駅
Spencer
路懿
黃思蕙
陳頴賢
何禮匡
梁翠芝
Kaza唐松曦
陳凱妮
姚斯憲
遊庵
田至成
張凱婷
簡偉傑
邱家華
李穎思
黃婉媚
張可澄
岑海僑
王筠藍
姜蘇航
楊凱霖
羅斌惠
李嘉瑩
KK|@SNE
葉晴
Ears Boo
庾錫坤
Helen Hin
Teo Lam
楊繕榕
Cat Chow
Kiko
謝志豪
Edmond Tsang
陳俊傑
艷昇輝粵劇曲藝園
劉艷盈
林麗娟
《新霸王別姬》
梁永基
鄭符潔芳
《洛水夢會》
鄭翀
倫美玲
《群英會之小宴》
李兆榮
蕭彩龍
《趙氏孤兒之捨子存孤》
賴桂瓊
紫堯
謝超明
余家龍
何寶華
賴少明
傑出公司
黃葆輝
城市當代舞蹈團
香港舞蹈聯盟
石嘉琁
李嘉雯
陳美錡
鄭詠之
顏頌然
賴咏珊
萬啟曦
白翠婷
韋穎欣
文聲藝苑
趣軒曲藝社
金鈴
《獅吼記之跪池》
高文謙
梁少英
黃玉如
歐陽婷
敬業舞台佈景製作公司
煌平制作
Theatre Noir Foundation
香港兒童合唱團
Theatre Noir
葉遜謙
關珮茵
言遇劇團
春暉粵藝工作坊
阮兆輝
鄧拱璧
李少芸
廖國森
郭俊聲
尹飛燕
黎耀威
張潔霞
梁煒康
陳嘉鳴
高潤權
高潤鴻
韓燕明
劉芷恩
廣興公司
金儀服裝公司
如陞輝劇團
林敏如
陳小龍
《何文秀會妻之靈堂會》
陳碧茵
《大鬧天宮》
關世振
《花迷蝶醉》
孫鳳儀
印妙玲
《孟姜女尋夫》
莫玄先
韋天龍
玄天鳳
《三叉口》
蘇鈺橋
《再世紅梅記之脫穽救裴》
鄭雅琪
蘇永池
關宗漢
新藝
盧氏
楊子靜
蔣世平
粵劇營運創新會
朗暉粵劇團
天寶粵劇團
陳麗君
楊麗紅
李明鏗
張寶華
郭啟煇
譚穎倫
文俊杰
江穎紅
劉國瑛
林克輝
陳芳芳
新群英
香港八和會館
羅家英
蘇翁
文華
王潔清
關凱珊
林汶聲
王希頴
袁善婷
韋俊郎
張宛雲
黃成彬
吳國華
文軒
柳御風
楚文琦
喬靖藍
高永熙
周熾楷|(6/1)
彭錦信|(7/1)
金儀戲劇服裝公司
蘇志昌
張慧婷
蘭春盛世劇團
《鳳閣恩仇未了情》
許振英
李麗娟
《隨宮十載菱花夢》
何世豪
百花仙
《狄青闖三關之追夫》
黃佩容
鄧少薇
蘇勵昇
玉曉暉
《再世紅梅記﹣脫穽救裴》
《白龍關》(下卷)
彭佩明
鳳芊芊
張燦輝
何潔芳
新藝佈景公司
FYM Studio
威傑設計
盧鐸
苗丹青
鳳凰寶寶曲藝社
范德廉
劉漢山
寶寶
《狄青闖三關》
許國卿
馬莉蔭
《摘纓會》
伍愛蓮
陳棋樽
楊惠賢
大鴻運劇團
袁纓華
張絜行
呂洪廣
陳玉堂
祝如山
陳玉卿
仲箎
劍麟
蔡德興
詹浩鋒
文雪裘
唐宛瑩
黃學超
李沂洛(李振歡)
陳愛蓮
演藝青年粵劇團
洪海
胡悅容|女士
邢金沙
鄒麗玉
陳惠堅
梁燕夏|（梁燕飛）
《擋馬》
符樹旺
謝曉瑜
《拷紅》
林小葉|（林芯菱）
《斬經堂》
王志良
林穎施
《義責王魁》
阮德文
吳聿光
駱慶兒
宋向民
戴日輝
李迪倫
招日威
李善思
丁良晨
溫俊詩
高聖雯
李玟蓉
李祐宗
楊健強
沙田民政處
沙田話劇團
何明華會督銀禧中學
浸信會呂明才中學
