Eng,Chi
Lucille  Lo Yuk Yin,賴宛珊
Mary  Ma,陳成球
Tom,陳曉筠
,靳埭強
,馬少嫻
,黃倩怡
,黃孝逵
Nigel Szeto,司徒乃鍾
Jimmy,幾米
Bill London,
Cept,
David Bray,
Jon Burgerman,
L1Es One,
Phil Ashcroft,
Swoon,
Vesna Parchet,
Japan,日本
Mongolia,蒙古
Philippine,菲律賓
South Korea,南韓
Thailand,泰國
Vietnam,越南
China,中國
Macau,澳門
Eddie Lui and Lam Yuk Lin etc,
Department of Fine Arts,
Simon Birch,
Joseph C.K. Yeung,楊志強
Joseph C.K. Yeung,
Ma So Mui,馬素梅
Joe Leung,梁祖偉
Chan Kam Shing,陳錦成
Yokky Wong,黃美嫻
Alan Lai,賴志剛
Winnie Lo,盧瑋莉
Chris Chau,周立業
Anita Ng,吳香生
Jervis Ng,吳麗容
Ng Chor Wai,吳楚慧
Xing Danwen,邢丹文
Ling Jian,淩健
Joseph Kosuth,Joseph Kosuth
Gareth Brown,
Gareth Brown,Gareth Brown
Attasit Pokpong,
Silas Fong,方琛宇
Fiona Lee,李穎姍
Pascal Dombis,
Berlin),蔣志（深圳）
Li Chi Man,URBANUS都市實踐建築事務所（北京）
Chris Ng,徐坦（深圳）
Alan Lau,伊麗沙白．史基垃迪（科隆）
Christian Rapp And Lisa Albrecht (Berlin),法蘭．禾基拉爾（亞姆斯特丹）
Ma,
Ann New,牛安
Bob Sick Yudhita,Bob Sick YUDHITA
Eddie Hara,Eddie HARA
Gerard Bookle,Gerard BOOKLE
I Gusti Ngurah Buda,I Gusti Ngurah BUDA
Julia Nee Chu,邱久麗
Pande Ketut Taman,Pande Ketut TAMAN
Peter Dittmar,Peter DITTMAR
Wong Yan Kwai,黃仁逵
Tak Yeung,小克
Siuhak,楊學德
FIVE SPICES,FIVE SPICES
Erik Hoebergen & Deborah Meijburg,Erik Hoebergen & Deborah Meijburg
Xu Tiantian,徐甜甜
Haewon Shin,Haewon Shin
Kelly Chow,Kelly Chow
Gene Miao,苗承志
Frederick Wong,王文穎
Christopher Mok,Christopher Mok
Frank Leung,Frank Leung
Lam Pak King,Lam Pak King
Christian J. Lange,Christian J. Lange
Rocker Lange Archi,Rocker Lange Architects
,黃乃忠
,Katharina Mischer
,Thomas Traxler
,Diller Scof
AES+F (Photography,AES+F（Photography
Russia),Russia）
Yoshitaka Amano (Painting,Yoshitaka Amano（Painting
Japan),Japan）
Stephan Balkenhol (Scultpure,Stephan Balkenhol（Scultpure
Germany),Germany）
Salvador Dali (Scultpture,Salvador Dali（Scultpture
Spain),Spain）
Dale Frank (Painting,Dale Frank（Painting
Australia),Australia）
Erwin Olaf (Photography,Erwin Olaf（Photography
The Netherlands),The Netherlands）
Andy Wauman (Painting,Andy Wauman（Painting
Photography,Photography
,Troels W
P.J. Couarraze,P.J. Couarraze
Kenneth Holmden,Kenneth Holmden
François Lafon,François Lafon
Richard Lorenz,Richard Lorenz
David Mckay,David McKay
Andrew Tse,許行一
Bendick Leung,李永倫
Yvette Hui,李志成
Arnold Lee,李緯綸
Birdy Lee,梁仕昌
Winfred Li,梁萬斯
Ronald Leung,謝穎豐
Stanley Ng Wai Cheong,伍偉昌
Makoto FUJIMURA,Makoto FUJIMURA
,李潤桓
,傅世亨
,蘇思棣
,張麗真
,歐雪儀
,左燕芬
,葉榮枝
,郭玉美
,黃美平
,馬桂順
,廖少珍
,陳其謙
,鄺良
,林品湘
,林惠如
,黃成耀
Annette Yi Ki Pang,彭漪琪
Andrew Cattrell,
Ho Siu Kee,何兆基
Lo Wai Hang,老慧行
Frank Vigneron,韋一空
Yan Ren Kui,嚴仁奎
Natvar Bhabsar,
Kim Joon,
Nathan Slate Joseph,
Ricardo Mazal,
Sohan Qadri,
Hiroshi Senju,
Joan Vennum,
Lee Waisler,
Susan Weil,
Arthur Chan,陳軒明
James Wong,王銳顯
Ling Lai,賴玉玲
Otto Li,李天倫
Sunny Tam,譚源洲
Eastman Cheng,鄭淑宜
Hanison Lau,劉學成
Shirley Tse,謝淑妮
Tang Kwok Hin,鄧國騫
Wong Chun Hei,黃進曦
Mok Yat Sun,莫一新
Man Fung Yi,文鳳儀
Eileen Wong,黃薏蓮
Tony Ng,吳觀麟
Deborah Butterfield,Deborah Butterfield
Jayne Dyer,Jayne Dyer
Chow Chun Fai,周俊輝
Garry Floyd,
Lin Minggang,林鳴崗
Wang Shouqing,王守清
Xu Enqi,許恩琦
Yu Shan,俞山
Lo King Yee,老璟怡
Kum Chi-keung,甘志強
LUO XIANGK,
ZHANG WEIGUO,
Murakam,
Xing Danwen,
Lee Kit,李傑
Chao Shao-an,趙少昂
Antoine Audiau and Manuel Warosz,Antoine Audiau與Manuel Warosz
Wilson Shieh,石家豪
Jiang Zhi,蔣志
HO Siu Kee,何兆基
,鄭淑宜
,朱興華
,劉學成
,林東鵬
,謝淑妮
,鄧國騫
,黃進曦
Zao Wou Ki,
Chu The Chun,
Chao Chung Hsiang,
Walasse Ting,
Lui Shou Kwan,
John Way,
Tseng Yuho,
Chuang Che,
Hsiao Chin,
Ming Fay,
Gao Xing Jian,
Jiang Shuo,蔣朔
Chen Long Bin,陳龍斌
Victor Lai,黎明海
Lu Peng,呂鵬
Giles Dawe,
Candy Ng Shun Wa,吳信嬅
Takashi Murakami,
Tam Ning,譚寧
Cui Duo Sheng,崔鐸聲
Li Kwok Ming,李國明
Wu Mingbo,伍銘波
YU Peng,于彭
Muhammad Zeeshan,
Hasnat Mehmood,
Angela Fensch,
Esther Yip,葉麗雯
Sushan Chan,陳素珊
Cheng Yee Man,鄭怡敏
Clara Cheung,張嘉莉
Luke Ching Chin Wai,程展緯
Oscar Ho,何慶基
Pak Sheung Chuen,白雙全
Kith Tsang,曾德平
Hui Chiu Ying,許朝英
Lau Hok Shing,劉學成
Lau Kin Wah,劉建華
Lau Chi Chung,劉智聰
Law Man Lok,羅文樂
Chung Wai Ian,鍾惠恩
Lo Chi Kit,羅至傑
Leung C,梁志和
,梁美萍
,勞麗麗
,勞文禹
,吳茂蔚
,李俊峰
,丸仔
,方韻芝
,盧樂謙
,花苑
,C&G
,謝柏齊
,黃慧妍
,Henry Wong
Chan Shing Kau,陳成球
Chan Kwan Lap,陳君立
Bai Hai,白海
João Vasco Paiva,
Lee Nam Hang,李南衡
Eileen Chan,陳綺妮
Eunice Cheung Wai Man,張惠文
Cheng Sze,鄭思
Lam Yiu Him,林耀謙
Rasa,
Guan Hong Chen,關宏臣
Bai Chun Yu,白春禹
Han Bing Ning,韓冰凝
Wang Xing Ping,王興平
Shen Jun,沈軍
Hwang Cheol,黃哲
Hervé Maury,
Monkhor Erdenebayar,
Ma Desheng,馬德升
Jiang Ziye,
Wang Yihua,
Tian Haibo,
Le Longyao,
Pan Xun,
Li Xiaoming,
Zhu Yiyong,
zhang huan,張洹
huang yongping,黄永砯
Tsang Tsou Choi,曾灶財
Takano Ryudai,鷹野隆大
onaka koji,尾仲浩二
han jinpeng,韓金鵬
Anish Kapoor,Anish Kapoor
Kubota Miki,Kubota Miki
Glenn Brown,Glenn Brown
Onodera Yuki,Onodera Yuki
Thomas Struth,Thomas Struth
Parvathi Nayar,Parvathi Nayar
Louie Cordero,
Chris Chan Kam Shing,陳錦成
Margaret Chu,朱卓慧
Celia Ko Tin Yan,高天恩
Violet Shum,岑嘉慧
Gretchen So,蘇秀儀
Tang Ying Mui,鄧凝梅
Kenneth Tse Kam Wing,謝錦榮
Wong Wo Bik,王禾璧
Chui Tse Hung,
Lam Tian Xing,
Ann Yen,
Stefan Haase,
Tina Buchholtz,
Lin Yuan,
Hanison Lau Hok Shing,劉學成
Jiwye To,杜之外
,陸深
,陳培錕
,黃君壁
,董作賓
,韓羽
,劉三
,饒宗頤
,馮康侯
,錢君匋
,曹容
,胡惟德
,吳子復
,莊嚴
,楊善深
,黎心齋
,麥華三
,寧斧成
,王北岳
,楊之光
,何道根
,沈荃
,葉恭綽
,易大厂
,李仙根
,翟仕堯
,范曾
,江兆申
,秦咢生
,高按霄
,陳佩秋
,鄭鶴芝
Zhu Jun Shan,朱軍山
Zhao Ning,趙寧
Hu Yongkai,胡永凱
Xue Liang,薛亮
Feng Changjiang,馮長江
Feng Linzhang,馮霖章
Shi Qi,石齊
Hu Xianqian (Guangzhou),胡向前
Li Ming (Hangzhou),李明
Li Mu (Shanghai),李牧
Tang Dixin (Shanghai),唐狄鑫
and Zhao Zhao (Beijing),趙趙
Jane Lee,
Lee Kit,
August 2009,
Huang Rui,黃銳
Eating Leung,梁依廷
Grrdon Lo Ka Yin,盧家彥
Lam Hau Ling,林巧羚
Leung Ching Man,梁靜雯
Tang Siu Nam,鄧兆南
Wu Guanzhong,
Wang Huaiqing,
Xu Jiang,
Jia Youfu,
Pang Jiun,
Xin Dongwang,
Hu Yongkai,
Fang Xiang,
Yang Gang,
Yang Mingyi,
Bob Yan,
Ming Jing,
Liang Liqiang,
Cao Xiaodong,
Shen Jingdong,
Chen Lianqing,
Liu Wei,
Shi Wei,
Irina Surikova,
Anastassia Katafygiotis,
Piotr Frolov,
Raymond Fung,馮永基
Saffron Leung,梁兆齡
Robert Esterman,
Barry Jacques,Barry Jacques
Lam Wai Kit,林慧潔
Lee Mei Kuen,李美娟
Mark Pearson,Mark Pearson
Pierre Öberg,Pierre Öberg
David Smith,David Smith
Tang Ying Chi,鄧凝姿
Chen Xin Mou,陳心懋
Surekha,
Tomoka lke,
Hanison Lau Hok Shing,何兆基
Cicy Ching Sze Yin,劉學成
Daniel Chiu Yu Shing,程詩賢
Karen Cheung Lai Chun,趙汝誠
Wong Ping Tat,張麗珍
Chan Tai Shing,黃炳達
Fian Choi Fai Yin,陳大成
Fiona Wong Lai Ching,蔡飛燕
Chau Yu Ching,黃麗貞
Clare Kwan Lai Shan,周宇菁
Winus Lee Yee Mei,關麗珊
Aidan Wong Lai Kuen,李綺薇
Irene L,黃麗娟
,劉桂英
,丘文彬
,陳思光
,尹仲華
,林翠怡
,羅雅寧
,林志光
Nadim Abbas,
Roy Ascott,
Tauba Auerbach,
Darren Bader,
Cecil Balmond,
BANK,
Colby Bird,
Pierre Bismuth,
Barbara Bloom,
Mel Bochner,
Tobias Buche,
Ian Burns,
Cabinet Magazine,
Etienne Chambaud,
Cleopatra's,
Pet,
[China]Song Dong,
Zhao Liang,
Zhang Qing,
Zhou Hong Xiang,
[Australia] Matthew Griffin,
Sue Dodd,
[Indonesia] Ari Dina Krestiawan,
Mahardika Yubha,
[India] Chitra Sanesh,
Shakutala Kulkarni,
Tushar Joag,
Thukral & Tagra,
[Japan] Na,
Vincent Yu,余偉建
Leon Lam-Hien,
Wayne Bregulla,
Yang Lam Kit,楊霖潔
Helen So Miiasoey,蘇茵
Phoebe Chow,周淑琼
Shao Yi Nong,邵譯農
Ma Qiu Dha,馬秋莎
Chen Du Xi and Wang Si Shun,陳督兮
,王思順
Ho Yim Ting Vicky,何艷婷
Richard Winkworth ( UK ),
Christopher Rothermel,
Chan Suet Yi,陳雪兒
Cho Wing Ki,曹穎琪
Ho Yik Man,江嘉琪
Lam Ching Man,何翊雯
Lam Pui Shan,林靜雯
Chiu Tsz Ting,林佩珊
Chiu Ling Yee,趙芷莛
,焦翎兒
Cho Ran Hyand,
Han Sun Hyun,
Kwon Young Sul,
Lam Tung-pang,林東鵬
Damien Hirst,
Francis Bacon,
Gilbert and George,
,Kazuko
,Jhoie
,鄭玉鳳
,伍俊彥
,伍俊洛
,林秀
,鄭翔通
,周雅晶
,文雋傑
,馮寶儀
,林秉瀚
,林秉韜
,林嗚崗
,China
,over 1
,800 paintings
,sculptures and installations were shown.
,趙家傳
,趙誦經
,歐陽應霽
,Mike Chan
,利志榮
,葉長安
,吳文正
,劉小康
MEI Zijia,
HUANG Zheng,
Angela SU,
Cheung Yungyan,盧樂謙
Siu Man,張容甄
,張耀華
,小曼
Chan Siu Min,陳紹綿
Stephanie Sin,冼朗兒
Wu Jun,吳軍
B. Y. Chui,崔玉冰
Colan Ho,何家超
Chin Yee,
Paul Davies,
Kacey Wong,
Olaf Mueller,
Kay Tse,
Kirsteen Pieterse,
Richard Winkworth,
Baldovino Barani,
Holly Suan Gray,
Esther Yip Lai-Man,
Jonathan Jay,
Pratchaya Phinthong (Thailand),Pratchaya Phinthong (Thailand)
Wit Pimkanchanapong (Thailand),Wit Pimkanchanapong (Thailand)
and Tintin Wulia (Indonesia),and Tintin Wulia (Indonesia)
Tomoko Taniguchi,谷口 登茂子
Takehiro Yoshimitsu,吉光 健大
Jaffa Lam,林嵐
Kevin Fung Lik Yan,馮力仁
LIAO ZHENWU,
WANG LANG,
,陳漢忠
,郭儒禎
Cai Huan Sheng,黃慧妍
Clara & Gum,羅至傑
Hu Xiang Qian,林敬新
Kwan Sheung Chi,關尚智
Lin Jing Xinai,胡向前
Lo Chi Kit,張嘉莉
Doris Wong,鄭怡敏
,蔡煥升
Lukas Tam,譚偉平
Alice Cho Wing Sze,蔡穎思
Wong Chun Yum,黃振欽
Chung Wai Lun,鍾偉倫
Wong Kai Yu,黃啓裕
Chan Yeuk Ming,陳曰明
Bell Hui,許翠紅
Annie Wan,尹麗娟
Enoch Cheung,張康生
Thomas Choi,蔡小波
Virgile Simon Bertrand,Virgile Simon Bertrand
aRu,歐陽穎珊
Eiten Oshiro,
Chan Man Lai,陳文麗
Cheuk Ka Wai,卓家慧
Chu Ka Ki,朱嘉琪
Hui Chi Yan,許智恩
Lau Wai Kuen,劉偉娟
Sze Mei Ting,施美婷
Tsang Lai Wa,曾黎華
Yu Ho Man,余浩民
Gabriela Jurkovič,Gabriela Jurkovič
Nana Seo,徐銀兒
Hilda Chan,陳曉君
Andrew Taylor,
John Fung,
G Y Gigi,古月織夢子
Eric Chan,
Peng Wei,
Qing Qing,
Shuai Mei,
Yu Chen,
Yip Yiu Ming,葉耀明
Alan Lai,黎雅倫
Fong Chi-yung,方志勇
Ng Ko-shek,吳高石
Chan Mong-biu,陳夢標
Hui Shuet-ming,許雪明
,rebeka tam
,鴻飛
,（青年）妙善
,梁愷婷
,aggiew
,陳碧珊
,陳臻
,仁傑
,martin
,CH45E
,黃卓斌
,甄璟姍
,log6
,黃嘉瀛
,謝斐
,朱雁玲
,李嘉敏
,沈穎欣
,Jeanie Mak
,艾力家
,黎伊蓮
,（小朋友）謝旻叡
,陳樂睎
,鄭卓喬
,何羽軒
,梁善珩
,鄺銨渟
,陸敬文
,陸敬仁
,鄭樂宜
,梁善淘
,林蘊堯
,（藝術工作者）rebeka tam
Chiu Yuen Yung (Stories of a Cell Phone),趙月鏞《Stories of a Cell Phone》
Cheung Hon Him,張瀚謙
LAM Chi Fai and Wong Chun Kit (Soundgraf),林志輝和王震傑《Soundgraf》
Intimacy),李穎姍《在饗宴之間》
Cheung Hon Him (Rubbish's ID),張瀚謙《Rubbish's ID》
Catherine Tai (ATB-02),戴曉君《ATB-02》
,劉明達《Mushroom on the Cassette Tape》
,陳浣廷《錄像自動售賣機》
,孫詠怡《5-stars' Identity》
Wong Wing Tong,王永棠
Au Yeung Nai Chim,歐陽乃沾
LAW Ka Nam,羅家南
Claudia Borella,
David Murray,
David Reekie,
Galia Amsel,
Margit Fureder,
Julia Brooker,
Pete Wheeler,
Rick Swain,
Rudy van der Pol,
Shi Cheng,
Sun Yi,
Dinh Q. Lê,Dinh Q. Lê
Wang Ke ping,王克平
Simon Birch,Simon Birch
Leang Seckon,Leang Seckon
including Vincent Chui,許雅舒及岑珈其
Rita Hui and Sham Ka Ki,聯同本地著名藝術家周俊輝
Zao Wou-Ki,趙無極
Cheng Ka Yue,鄭家榆
Lewis Lau,劉彥韜
Bernard Yeung,楊承謙
Chan Yen Hua,陳彥樺
Chan Jun Yan,陳俊彥
Prof Lui Sang Wong and Follwers,黃磊生教授及其學生
Tsang Chui Mei,
Wong Chun Hei and Yan Shan Chun,
,歐陽乃霑
,陳朝龍
,廖文暢
,沈平近
Lois Conner,康蘭絲
SHUM Violet,
,梁棟材
,陳成球
,蔡海鷹；[澳門] 王健爾
,李德勝
,陸大同
,劉富業
,謝舸
,譚植桓；[台北] 李振明
,洪根深
,袁金塔
,劉國興
,瀰力村男(王家農)；[上海]石禪
,江宏
,車鵬飛
,陳鶴良
,鄭人剛
,蕭海春
Pauline Lam Yuk Lin,林玉蓮
,區華欣
,陳正文
,張嘉莉
,張震揚
,鍾惠恩
,朱耀煒
,黎卓華
,羅文樂
,羅至傑
,老慧行
,唐偉傑
,王永棠
,劉慶元
,譚紅宇
,馮峰
,盧麃麃
,黃明
,張湘溪
,楊宜春
,Sylvie Denett
,莫頔
,石崗
,朱曄
,王彤
,鄭琦
,黃建勳
Tamshui,淡水
Walter Kwong,鄺國惠
Lindy Lee,
Li Wei,李暐
William Furniss,
Carol Lee Mei Kuen,李美娟
,林海華
Didier Faustino,Didier Faustino
Ali Kazma,Ali Kazma
Erkka Nissinen,Erkka Nissinen
Dennis Oppenheim,Dennis Oppenheim
Shahzia Sikander,Shahzia Sikander
Satoru Tamura,Satoru Tamura
Bill Viola,Bill Viola
Wang Gongxin,王功新
Wang Qingsong,王慶松
Lindy Lee,Lindy Lee
Shao Yinong and Muchen,邵逸農與慕辰
Nguyen Thai Tuan,Nguyen Thai Tuan
Fiona Pardington,Fiona Pardington
Sopheap Pich,Sopheap Pich
John Choy,
Eddie Chan,
Sreshta Rit Premnath,Sreshta Rit Premnath
Simon Leung,梁碩恩及Lin + Lam
Lin + Lam,
David Boyce,David Boyce
Nick Cheuk,卓亦謙
Gaeme Cooper,Graeme Cooper
Evangelo Costadimas & Syren Johnstone,Evangelo Costadimas & Syren Johnstone
Peter Fraser,Anthony Lam
Anthony Lam,Stephen Lam
Stephen Lam,Noe Manalili
Noel Manalili,寧弦聲
Riddick Douglas Ning,Hiram To
Hiram To,唐景鋒
Kurt Tong,Bruce Yonemoto
Bruce Yonemoto,Peter Fraser
,黃小鵬
,許方華
,Viet L?
,麥海珊
,Mixrice
,?見允枝子
,王浩然
,八木良太
,鄭波
Tak Yeung,楊學德
Siu Hak John Ho,小克
seemanho,何達鴻
Rainbow Leung,江康泉
,李香蘭
LEE Chun Fung+ IP Ho Lun (Roland),李俊峰+葉浩麟
SCOLARI Jean-Christophe,高學長
YU Cally,俞若玫
CHEUNG Clara,張嘉莉
CHENG Yee Man(GUM),鄭怡敏(阿金)
Susan CHAN,陳素珊
Chris COOK,Chris COOK
TANG Kwok Hin,鄧國騫
TSE Sara,謝淑婷
CHENG Yee Man,鄭怡敏
Adam Enfroy,Adam Enfroy
Candy Factory,Candy Factory
Cory Arcangel,Cory Arcangel
Evan Roth,Evan Roth
Chen Hangfeng,陳航峰
James Powderly,James Powderly
Manolis Perrakis,Manolis Perrakis
Shiro Masuyama,Shiro Masuyama
Yu Araki,Yu Araki
Zhou Xiaohu,周嘯虎
Eve Leung,梁依延
Luk Wai Yin,陸憓賢
Wong Xiang Yi,黃向藝
Vincent Wan,溫桂文
JessielLeung,梁家儀
Salad Ho,何祖怡
Lam Yau Sum,林佑森
Chris Chan,陳罡毅
Siu Wai Hang,蕭偉恆
Pedro Meyer,
Nadia Baram,
Alex Ng,伍振榮
Andrew Lam,Gerhard Lang
Gerhard Lang,林漢堅
Birdy Chu,朱迅
Galen Tse,謝健華
Andy Tam,譚達強
Simon Go,吳文正
Stanley Ng,伍偉昌
SIS(HK),小
Zhang Qiang,張強
Cassian Lau,劉啟舜
Siu Kuen,少娟
Vito Acconci,Vito Acconci
Ai Weiwei,艾未未
Peter ALWAST,
Yu ARAKI,
Howard CHENG Chi Lai,
Vishal Kumar DAR,
Michelle DIZON,
Silas FONG,
HO Tzu Nyen,
KIM Yongho,
LE Quy Anh Hao,
MA Qiusha,
Angelica MESITI,
MIAO Xiao Chun,
Yusuke NAKAJIMA,
Yuki OHRO,
Muhammad  Akbar,Muhammad  Akbar
Tiong Ang,Tiong Ang
Nala Atmowiloto,Nala Atmowiloto
Wimo Ambala Bayang,Wimo Ambala Bayang
Ari Satria Darma,Ari Satria Darma
Krisna Murti,Krisna Murti
Eko Nugroho,Eko Nugroho
Anggun Priambodo,Anggun Priambodo
Wok The Rock,Wok The Rock
Tintin Wulia,
Renate Bertlmann,
BitteBitteJaJa,
Paul Divjak,
Thomas Draschan,
Tomas Eller,
Tina Frank,
Peter Rehberg,
Rainer Ganahl,
Nicolas Jasmin,
Anne Jermolaewa,
Susi Jirkuff,
Leopold Kessler,
Dariusz Kowalski,
Sabine Maier,
Josh M?ller,
Charit Supaset,
Disorn Duangdao,
Worathe Akkabootara,
Rirkrit Tiravanija + Nico Dockx,
Muhammad Akbar,
Tiong Ang,
Nala Atmowiloto,
Wimo Ambala Bayang,
Ari Satria Darma,
Henry Priambodo,
Wok The Rock,
Edwin Lo,?潤庭
Rita Hui,許雅舒
Ivy Ma,
Au Ka Yiu,區家耀
Joe Chan,陳翹康
Wong Tin Yan,黃天仁
Norman de Brakinghe,
David Boyce,
Ling Lai,
Alex Kin-Fung Heung,
Angelina Tong,
Authur Chan,
Beatrix Pang,
Beverley Cheng,
Cjarles LaBelle,
Chirs Lo,
Claire Lee,
Damon Tong,
Dee Dee Choy,
Emily Eldridge,
Eunice Wai-Man Cheung,
Evangelo Costadimas,
Fan Yun Wa,
Shen Jingdong,沈敬東
Yang Mingyi,楊明義
Tung Lo,
Ling Ling Ling,曾慶靈
Evangelo Costadimas,安杰路
Ji Wenyu and Zhu Weibing,計文于和朱?兵
Bovey Lee,李寶怡
Virginie Lerouge Knight,Virginie Lerouge Knight
Monika Lin,Monika Lin
Sally Smart,Sally Smart
Heidi Voet,Heidi Voet
Wu Meng,吳夢
,許志鋒
Esther MOK Wan Yee,莫韻兒
Mia WOO Wing Wa,胡詠樺
WONG Hon-lam,黃翰淋
Lailing LAI Chi Ling,黎志玲
Vicky LO Wing Ki,盧穎琪
Ung U Tong  Annice,吳雨桐
Silas FONG Sum Yu,方琛宇
JoeGo CHAN Yeuk Ming,陳曰明
Attor CHEUNG Tin Yau,張天佑
Abby WONG,黃美鴻
Candy HO,何靜怡
Juno CHAN,陳駿龍
Cathy LAU,劉清韻
LEUNG Ka Yu,梁嘉茹
HUI Wai Yi,許慧兒
Hanison,
Beatrix Pang,彭倩幗
Ger Choi,蔡芷筠
Ali Wong Kit Yi,黃潔宜
wen yau,魂游
hey_fruit,喜嘻果
Cally Yu,俞若玫
Yuenjie,丸仔
Kung Chi Shing,龔志成
Hung Keung,洪強
Kong Khong Chang (Kongkee) Tim Li Man Wai,江康泉 (江記)
Lee Chi Hoi (Chihoi),李民偉
Leung Ping Kwan (Ye Si),李智海 (智海)
Lam Tung Pang,梁秉鈞 (也斯)
Freeman Lau Siu Hong,林東鵬
Teddy Lo Yeung Ma,劉小康
,羅揚文
,石家豪
,伍韶勁
,謝淑婷
,嚴迅奇
,周俊輝
,朱德華
Ma Yun Hein,馬潤憲
Wong Wai Ching,黃惠貞
Lo Chi Keung,羅志強
Lo Ling Kit,羅令潔
Ou Da Wei,區大為
,蘇樹輝
,馬潤憲
,李紀欣
,郭耀偉
,李詠梅
,梁文儀
,李煥好
,徐沛之
,李應平
,李佩霞
,吳維富
,王炳泰
,古潔堅
,朱綠君
,何笑貞
,何麗雲
,余筱貞
,余艷萍
,吳大年
,岑燕蘭
,李友文
,李淨
,李潔屏
,周達豪
,周慧蘭
,招明
,林德茂
,姜趙玉蓮
,姚錫安
,胡妙玲
,范誠忠
,容浩然
,容繩祖
,翁築雄
,高嘉玲
,張詠
,張醒熊
,張耀萍
,張蘇嘉惠
,梁秋白
,梁浪波
,梁麗斯
,梁寶珠
,陳琛
,陳用
,陳少華
,陳世柳
,陳捷敏
,陳雪儀
,陳華煜
,陳蔭禧
Bu Hua,
Au Hoi Lam,區凱琳
Yan Ren Kui,
Julien Blaine (France),魂游 等
Sylvette Babin (Canada,
Peter Baren,
the Netherlands) (Maurice Blok,
the Netherlands),
Nadia Capitaine (France),
Chen Jin (China),
He Chengyao (China),
Brian Connolly (Northern Ireland),
John Court (United K,
Zhao Shao’ang,趙少昂
Yang Shanshen,楊善深
Ding Yanyong,丁衍庸
Hon Chi Fun,韓志勳
Luis Chan,陳福善
Lu Shoukun,呂壽琨
Irene Chou Lok Wen,周綠雲
Fang Zhaolin,方召麔
Kwok Mang Ho (Frog King),郭孟浩(蛙王)
Raymond Fung Wing Kee,馮永基
Choi Hoi Ying,蔡海鷹
Tien Chi,天池
Wong Sau Ching,王守清
Lee Chun Y,李君毅
,熊海
,萬青屴
,郭瑛
,梁嘉賢
,管偉邦
,梁巨廷
,陳餘生
,韋一空
,呂振光
,李展輝
,甘志強
,吳觀麟
,黃琮瑜
,唐詠詩
,馮康?
,佘雪曼
,區大為
,葉民任
,溤湛華(馮一峰)
,葉愷
,馮明秋
,蔡啟仁
Kwok Mang Ho (Frog King),郭孟浩 (蛙王)
KONG Kai Ming,江啟明
Mus?e d'Histoire Naturelle de Lille,法國自然歷史博物館
RAS,法國地理學會
Peabody Essex Museum,英國威爾康圖書館
