Year,Newly constructed id for migration,blank,1=巡迴展,location_en,location_tc,district_en,district_tc,venue_en,venue_tc,New_venue_en,New_venue_tc,site/展區簡稱,exh_venue/展場名稱,media1_en,media1_tc,media2_en,media2_tc,title_en,title_tc,title_combine,subtitle_en,subtitle_tc,start_date (dd/mm/yyyy),end_date (dd/mm/yyyy),Start_Year/首展年份,Start_Month/首展月份,permanent_exh/常設展,organizer_en,organizer_tc,co_organizer_en,co_organizer_tc,curator_en,curator_tc,participant_en,participant_tc,remark_en,remark_tc,count_exh/數量,site_count/展區數量,site_recode,space/活化空間,Media1 Code,Media2 Code,media_code/兩種媒介或以上,Venue_to_count,Venue_type_exh_count,Space_type_exh_count,Date to count,Count_exh = Date to count?,actual_exh_days/實際展期天,count_exh_day/年度展期天,adc_remarks,adc_remarks_date,,ADC_Remarks_deleted,ADC_Remarks,ADC_Remarks_date,new_Remarks,duration_of_exhibition,,,,exh_venue,site_count (new),site_count_B,OLD_actual_days,published_permanent_count/常設展,published_Days/年度展期天,exh_to_count/統計數量,non_duplicated_date_count,new_Days/年度展期天,,,Remarks,Remarks,Reference link,indoor/outdoor/both
0910,09100481b,,1,Non-local,非本地,,,"Temporary Exhibition Gallery of the Civic and Municipal Affairs Bureau, Av. Almeida Ribeiro No. 163",民政總署畫廊，澳門新馬路163號,,,777 ,777 ,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,The Spirit of the Sky and Land - Art works Exhibition by Wucius Wong,天地情 ── 王無邪作品展,天地情 ── 王無邪作品展,n.a.,n.a.,2010/03/13,2010/05/30,2010 ,3 ,0 ,iPRECIATION; Civic and Municipal Affairs Bureau,誰先覺畫廊、澳門民政總署,n.a.,n.a.,n.a.,n.a.,Wucius Wong,王無邪,,,0 ,777 ,777 ,77 ,,,0 ,777 ,,,777 ,,79 ,,,,,NON-LOCAL,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,4,,,,#VALUE!,0 ,79 ,0 ,19 ,777 ,777 ,347 ,,,NA,,,indoor
0910,09100632a,,1,Non-local,非本地,,,Moca Shanghai,上海當代藝術館,,,777 ,777 ,Mixed Media and Installation,混合媒介及裝置,n.a.,n.a.,Fantastic Illusions – Media Art Exhibition of Chinese and Belgian Artists,完美幻覺 – 中國比利時媒體藝術交流展,完美幻覺 – 中國比利時媒體藝術交流展,n.a.,n.a.,2009/09/13,2009/10/11,2009 ,9 ,0 ,Shanghai eArts Festival 2009,2009上海電子藝術節,n.a.,n.a.,n.a.,n.a.,Teddy Lo,羅揚文,Artwork Name: Positive Void,展品名稱：正虛影,1 ,777 ,777 ,77 ,,,1 ,777 ,,,777 ,,29 ,,,,,NON-LOCAL,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,29 ,0 ,29 ,777 ,777 ,166 ,,,NA,,,indoor
0910,09100632b,,1,Non-local,非本地,,,Arts Centre Buda Kortrijk (Belgium),比利時 BUDA 藝術中心,,,777 ,777 ,Mixed Media and Installation,混合媒介及裝置,n.a.,n.a.,Fantastic Illusions – Media Art Exhibition of Chinese and Belgian Artists,完美幻覺 – 中國比利時媒體藝術交流展,完美幻覺 – 中國比利時媒體藝術交流展,n.a.,n.a.,2009/11/14,2010/02/07,2009 ,11 ,0 ,Shanghai eArts Festival 2009,2009上海電子藝術節,n.a.,n.a.,n.a.,n.a.,Teddy Lo,羅揚文,Artwork Name: Positive Void,展品名稱：正虛影,0 ,777 ,777 ,77 ,,,1 ,777 ,,,777 ,,86 ,,,,,NON-LOCAL,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,5,,,,#VALUE!,0 ,86 ,0 ,86 ,777 ,777 ,228 ,,,NA,,,indoor
0910,09100635,,0,Local,本地,,,Hong Kong Museum of Art,香港藝術館,,,MU,Hong Kong Museum of Art,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,The Ultimate South China Travel Guide – Canton,洋人旅粵指南──廣州自助遊全攻略,洋人旅粵指南──廣州自助遊全攻略,n.a.,n.a.,2009/09/14,2010/03/28,2009 ,9 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,196 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,8,,,,#VALUE!,0 ,196 ,0 ,196 ,1 ,1 ,167 ,,,NA,,,indoor
0910,09100640,,0,Non-local,非本地,,,"La Sucrière, Lyon",法國里昂糖廠（La Sucrière）,,,777 ,777 ,Mixed Art-forms,綜合展,n.a.,n.a.,Xth Biennale de Lyon  - The Spectacle of the Everyday,第10屆里昂雙年展「The Spectacle of the Everyday」,第10屆里昂雙年展「The Spectacle of the Everyday」,n.a.,n.a.,2009/09/16,2010/01/03,2009 ,9 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tsang Kin Wah etc,曾建華等,,,1 ,777 ,777 ,77 ,,,1 ,777 ,,,777 ,,110 ,,,,,NON-LOCAL,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,8,,,,#VALUE!,0 ,110 ,0 ,110 ,777 ,777 ,169 ,,,NA,,,indoor
0910,09100749,,0,Local,本地,,,"University museum and Art Gallery, The University of Hong Kong",香港大學美術博物館,,,SCH,HKU - The University Museum and Art gallery,Ceramics,陶藝,n.a.,n.a.,The Fame of Flame: Imperial Wares of the Jiajing and Wanli Periods,爐火純青：嘉靖及萬曆官窯瓷器,爐火純青：嘉靖及萬曆官窯瓷器,n.a.,n.a.,2009/10/14,2010/05/23,2009 ,10 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,2 ,88 ,,,0 ,1 ,,,1 ,,222 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,6,,,,#VALUE!,0 ,222 ,0 ,169 ,1 ,1 ,197 ,,,NA,,,both
0910,09100784,,0,Local,本地,,,agnès b.'s Librairie Galerie,N.A.,,,BUSS,agnes b.'s Librairie Galerie,Painting,繪畫,n.a.,n.a.,a place changes as we look ,凝視中，事過境遷,凝視中，事過境遷,n.a.,n.a.,2009/10/23,2010/01/16,2009 ,10 ,0 ,Gallery EXIT & agnes b's LIBRAIRIE GALERIE,安全口畫廊、agnes b's LIBRAIRIE GALERIE,n.a.,n.a.,n.a.,n.a.,Silvia Chan; Silas Fong; Ho Sin Tung; Sarah Lai,陳璟佩、何倩彤、黎卓華、方琛宇,,,1 ,1 ,3 ,88 ,,,0 ,1 ,,,1 ,,86 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,2,,,,#VALUE!,0 ,86 ,0 ,86 ,1 ,1 ,206 ,,,NA,,,
0910,09100790,,0,Non-local,非本地,,,"Pekin Fine Arts, Beijing",北京Pekin Fine Arts,,,777 ,777 ,Electronic Art,電子藝術,n.a.,n.a.,Tsang Kin-Wah: The Third Seal - They Are Already Old. They Don't Need To Exist Anymore.,N/A,Tsang Kin-Wah: The Third Seal - They Are Already Old. They Don't Need To Exist Anymore.,n.a.,n.a.,2009/10/24,2010/01/28,2009 ,10 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Tsang Kin Wah,曾建華,,,1 ,777 ,777 ,77 ,,,0 ,777 ,,,777 ,,97 ,,,,,NON-LOCAL,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,6,,,,#VALUE!,0 ,97 ,0 ,97 ,777 ,777 ,207 ,,,NA,,,indoor
0910,09100814a,,1,Local,本地,,,"Hospital Gallery, G/F Lobby, Queen Elizabeth Hospital, 30 Gascoigne Road, Kowloon",九龍伊利沙伯醫院地下大堂醫院畫廊,,,PUB,Queen Elizabeth Hospital,Painting,繪畫,n.a.,n.a.,Exhibition by Kongkee,江記作品展,江記作品展,n.a.,n.a.,2009/11/01,2009/11/30,2009 ,11 ,0 ,Art in Hospital,藝術在醫院,n.a.,n.a.,n.a.,n.a.,Kong Kee,江記 ,,,1 ,1 ,7 ,88 ,,,0 ,1 ,,,1 ,,30 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,30 ,0 ,30 ,1 ,1 ,215 ,,,NA,,,indoor
0910,09100814b,,1,Local,本地,,,"Hospital Gallery, LG2, Oncology Department, East Block, Pamela Youde Nethersole Eastern Hospital, 3 Lok Man Road, Chai Wan, Hong Kong",香港柴灣東區那打素尤德醫院腫瘤科、地庫2樓、醫院畫廊,,,PUB,PYN Eastern Hospital,Painting,繪畫,n.a.,n.a.,Exhibition by Kongkee,江記作品展,江記作品展,n.a.,n.a.,2009/12/01,9999,2009 ,12 ,99 ,Art in Hospital,藝術在醫院,n.a.,n.a.,n.a.,n.a.,Kong Kee,江記 ,,,0 ,1 ,7 ,88 ,,,0 ,1 ,,,1 ,,(30148),,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,#VALUE!,99 ,9999 ,0 ,1 ,245 ,,,NA,,,indoor
