Year,Newly constructed id for migration,blank,1=巡迴展,location_en,location_tc,district_en,district_tc,venue_en,venue_tc,New_venue_en,New_venue_tc,site/展區簡稱,exh_venue/展場名稱,media1_en,media1_tc,media2_en,media2_tc,title_en,title_tc,title_combine,subtitle_en,subtitle_tc,start_date (dd/mm/yyyy),end_date (dd/mm/yyyy),Start_Year/首展年份,Start_Month/首展月份,permanent_exh/常設展,organizer_en,organizer_tc,co_organizer_en,co_organizer_tc,curator_en,curator_tc,participant_en,participant_tc,remark_en,remark_tc,count_exh/數量,site_count/展區數量,site_recode,space/活化空間,Media1 Code,Media2 Code,media_code/兩種媒介或以上,Venue_to_count,Venue_type_exh_count,Space_type_exh_count,Date to count,Count_exh = Date to count?,actual_exh_days/實際展期天,count_exh_day/年度展期天,adc_remarks,adc_remarks_date,,ADC_Remarks_deleted,ADC_Remarks,ADC_Remarks_date,new_Remarks,duration_of_exhibition,,,,exh_venue,site_count (new),site_count_B,OLD_actual_days,published_permanent_count/常設展,published_Days/年度展期天,exh_to_count/統計數量,non_duplicated_date_count,new_Days/年度展期天,,,Remarks,Remarks,Reference link,indoor/outdoor/both
0910,09100993,,0,Local,本地,,,"K11 Art Mall, 18 Honai Road, Tsim Sha Tsui",尖沙咀河內道18號K11購物藝術館,,,BUSS,K11,Mixed Art-forms,綜合展,n.a.,n.a.,Hiking Arte-inaugural exhibition of K11,N.A.,Hiking Arte-inaugural exhibition of K11,n.a.,n.a.,2009/12/18,2010/05/13,2009 ,12 ,0 ,K11 concepts Ltd,K11 concepts Ltd,Gallery Exit,安全口,Jeff Leung Chin Fung,梁展峰,Eastman Cheng; Chu Hing Wah; Hanison Lau; Lam Tung Pang; Shirley Tse; Tang Kwok Hin; Wong Chun Hei,鄭淑宜、朱興華、劉學成、林東鵬、謝淑妮、鄧國騫、黃進曦,,,1 ,1 ,3 ,88 ,,,1 ,1 ,,,1 ,,147 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,4,,,,#VALUE!,1 ,147 ,0 ,104 ,1 ,1 ,262 ,,,NA,,,indoor
0910,09100994,,0,Local,本地,,,"K11 Art Mall, 18 Honai Road, Tsim Sha Tsui",尖沙咀河內道18號K11購物藝術館,,,BUSS,K11,Mixed Art-forms,綜合展,n.a.,n.a.,K11 Kollection,K11藝術典藏,K11藝術典藏,n.a.,n.a.,2009/12/18,2010/03/31,2009 ,12 ,0 ,K11 concepts Ltd,K11 concepts Ltd,n.a.,n.a.,n.a.,n.a.,Danny Lee; Mok Yat Sun; Man Fung Yi; Kum Chi Keung; Eileen Wong; Tony Ng; Deborah Butterfield; Jayne Dyer,李展輝、莫一新、文鳳儀、甘志強、黃薏蓮、吳觀麟、Deborah Butterfield、Jayne Dyer,,,1 ,1 ,3 ,88 ,,,1 ,1 ,,,1 ,,104 ,,,,,,"(系列=常設展,但展期天<365),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,2,,,,#VALUE!,0 ,104 ,0 ,104 ,1 ,1 ,262 ,,,NA,,,indoor
0910,09101001,,0,Local,本地,,,Artist Commune,藝術公社,,,ART,Artist Commune,Design,設計,n.a.,n.a.,10+ Architecture Exhibition,10+建築設計展,10+建築設計展,n.a.,n.a.,2009/12/19,2010/01/07,2009 ,12 ,0 ,Barrie Ho Architecture Interiors Ltd.,何周禮建築設計事務所,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,5 ,6 ,,,0 ,1 ,,,1 ,,20 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,5,,,,#VALUE!,0 ,20 ,0 ,20 ,1 ,1 ,263 ,,,NA,,,indoor
0910,09101002,,0,Local,本地,,,"Ground Sixteen, G16, Block A, Wah Luen Industrial Centre, 21, Wong Chuk Yeung St., Fotan",火炭華聯工業中心A座G16室Ground Sixteen,,,ART,Ground Sixteen,Painting,繪畫,n.a.,n.a.,Primo Strokes,原初的輪廓 ,原初的輪廓 ,n.a.,n.a.,2009/12/19,2010/01/31,2009 ,12 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Leung Kui Ting; Christopher Ku; Lam Tung Pang; Chow Chun Fai,梁巨廷、谷敏昭、林東鵬、周俊輝,,,1 ,1 ,5 ,1 ,,,0 ,1 ,,,1 ,,44 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,2,,,,#VALUE!,0 ,44 ,0 ,44 ,1 ,1 ,263 ,,,NA,,,indoor
0910,09101009,,0,Local,本地,,,Art Gallery @ Soho East,蘇豪東藝術畫廊,,,GAL,Art Gallery @ Soho East,Children Art,兒童藝術,n.a.,n.a.,n.a.,小畫家 x 千顆藝術彗星的故事 @ 蘇豪東09,小畫家 x 千顆藝術彗星的故事 @ 蘇豪東09,n.a.,n.a.,2009/12/21,2010/01/31,2009 ,12 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,「小畫家培訓班」學生,,,1 ,1 ,6 ,88 ,,,0 ,1 ,,,1 ,,42 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,8,,,,#VALUE!,0 ,42 ,0 ,42 ,1 ,1 ,265 ,,,NA,,,indoor
0910,09101010a,,1,Local,本地,,,Gallery by the Harbour,海港城．美術館,,,BUSS,Gallery by the Harbour,Painting,繪畫,n.a.,n.a.,The Luvimals - Greatest Love of All Exhibition,全城至寵愛,全城至寵愛,n.a.,n.a.,2009/12/22,2010/01/17,2009 ,12 ,0 ,n.a.,n.a.,"Artlinks Asia; Gallery by the Harbour, Habour City",藝廊亞洲、海港城。美術館,n.a.,n.a.,Garry Floyd,n.a.,,,1 ,1 ,3 ,88 ,,,0 ,1 ,,,1 ,,27 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,2,,,,#VALUE!,0 ,27 ,0 ,27 ,1 ,1 ,266 ,,,NA,,,both
0910,09101010b,,1,Local,本地,,,The Gallery of Modern Art (GoMA),高麻藝術,,,GAL,The Gallery of Modern Art,Painting,繪畫,n.a.,n.a.,The Luvimals - Greatest Love of All Exhibition,全城至寵愛,全城至寵愛,n.a.,n.a.,2009/12/22,9999,2009 ,12 ,99 ,n.a.,n.a.,"Artlinks Asia; Gallery by the Harbour, Habour City",藝廊亞洲、海港城。美術館,n.a.,n.a.,Garry Floyd,n.a.,,,0 ,1 ,6 ,88 ,,,0 ,1 ,,,1 ,,(30169),,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,5,,,,#VALUE!,0 ,#VALUE!,99 ,9999 ,0 ,1 ,266 ,,,NA,,,indoor
0910,09101012a,,1,Non-local,非本地,,,Fujian Art Gallery ,福建美術館,,,777 ,777 ,Painting,繪畫,n.a.,n.a.,Haixi Affection - Art of Nature International Overseas Outstanding Artists Art Traveling Exhibition - Fujian and Xiamen,情繫海西 — 天趣海外傑出藝術家作品福州、廈門巡迴展,情繫海西 — 天趣海外傑出藝術家作品福州、廈門巡迴展,n.a.,n.a.,2009/12/23,2009/12/27,2009 ,12 ,0 ,"Art of Nature International, Fujian Art Gallery and Xiamen Art Gallery",香港天趣國際藝術、福建美術館及廈門美術館,n.a.,n.a.,n.a.,n.a.,Lin Minggang; Wang Shouqing; Xu Enqi; Yu Shan,林鳴崗、王守清、許恩琦、俞山,The event is sponsored and supported by the Culture Market Development Centre of the Department of Culture; Fujian Provincial Department of Culture; Xiamen Municipal Department of Promotion; Beijing International Art Exchange Centre; Toptech Training Cent,本次展覽得到中華人民共和國文化部文化市場發展中心、福建文化廳、廈門市委宣傳部、北京國際藝術交流中心、清華大學美術學院高端培訓中心、世界福州十邑同鄉總會、國際藝術家聯盟、世界女藝術家理事會、香港油畫研究會等協助與支援,1 ,777 ,777 ,77 ,,,0 ,777 ,,,777 ,,5 ,,,,,NON-LOCAL,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,5 ,0 ,5 ,777 ,777 ,267 ,,,NA,,,indoor
0910,09101012b,,1,Non-local,非本地,,,Xiamen Art Gallery,廈門美術館,,,777 ,777 ,Painting,繪畫,n.a.,n.a.,Haixi Affection - Art of Nature International Overseas Outstanding Artists Art Traveling Exhibition - Fujian and Xiamen,情繫海西 — 天趣海外傑出藝術家作品福州、廈門巡迴展,情繫海西 — 天趣海外傑出藝術家作品福州、廈門巡迴展,n.a.,n.a.,2009/12/30,2010/01/08,2009 ,12 ,0 ,"Art of Nature International, Fujian Art Gallery and Xiamen Art Gallery",香港天趣國際藝術、福建美術館及廈門美術館,n.a.,n.a.,n.a.,n.a.,Lin Minggang; Wang Shouqing; Xu Enqi; Yu Shan,林鳴崗、王守清、許恩琦、俞山,The event is sponsored and supported by the Culture Market Development Centre of the Department of Culture; Fujian Provincial Department of Culture; Xiamen Municipal Department of Promotion; Beijing International Art Exchange Centre; Toptech Training Cent,本次展覽得到中華人民共和國文化部文化市場發展中心、福建文化廳、廈門市委宣傳部、北京國際藝術交流中心、清華大學美術學院高端培訓中心、世界福州十邑同鄉總會、國際藝術家聯盟、世界女藝術家理事會、香港油畫研究會等協助與支援,0 ,777 ,777 ,77 ,,,0 ,777 ,,,777 ,,10 ,,,,,NON-LOCAL,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,10 ,0 ,10 ,777 ,777 ,274 ,,,NA,,,indoor
0910,09101021,,0,Local,本地,,,Cultural Centre Exhibition Gallery,文化中心展覽館,,,PA,Cultural Centre Exhibition Gallery,Mixed Art-forms,綜合展,n.a.,n.a.,The 6th Art Exhibition by the Youth of China,第五屆中華濃情少年藝術滙展,第五屆中華濃情少年藝術滙展,n.a.,n.a.,2009/12/31,2010/01/03,2009 ,12 ,0 ,Hong Kong Visual Arts Society of Youth & Children,香港青少年麾覺藝術研究學會,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,1 ,88 ,,,1 ,1 ,,,1 ,,4 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,4 ,0 ,4 ,1 ,1 ,275 ,,,NA,,,indoor
0910,09101022,,0,Local,本地,,,"UG62, Upper Ground Floor, Citywalk",荃新天地高層地下UG62,,,BUSS,Citywalk,Prints,版畫,n.a.,n.a.,Citywalk - a series of solo exhibition by local artists: 5) Re-work - Works by Lo King Yee,城市步伐系列 - 本地藝術家個展5︰《再造》老璟怡個展,城市步伐系列 - 本地藝術家個展5︰《再造》老璟怡個展,n.a.,n.a.,2010/01/12,2010/01/28,2010 ,1 ,0 ,"Sino Group ""Art in Hong Kong"", Citywalk Art Project",信和集團「香港藝術」、荃新天地藝術計劃,Art Local,藝術．本地,Ho Wing Man Kurama,何穎雯,Lo King Yee,老璟怡,,,1 ,1 ,3 ,88 ,,,0 ,1 ,,,1 ,,17 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,2,,,,#VALUE!,0 ,17 ,0 ,17 ,1 ,1 ,287 ,,,NA,,,indoor
0910,09101023,,0,Local,本地,,,"Exhibition Gallery 5, Hong Kong Central Library",香港中央圖書館展覽館 5,,,LIB,Hong Kong Central Library Exhibition Gallery,Painting,繪畫,n.a.,n.a.,Drawing for a 'New Life',「畫出新一頁」─畫‧框,「畫出新一頁」─畫‧框,n.a.,n.a.,2010/02/20,2010/02/22,2010 ,2 ,0 ,New Life Psychiatric Rehabilitation Association,新生精神康復會,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,3 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,8,,,,#VALUE!,0 ,3 ,0 ,3 ,1 ,1 ,326 ,,,NA,,,indoor
0910,09101025,,0,Local,本地,,,Hong Kong Heritage Museum,香港文化博物館,,,MU,Hong Kong Heritage Museum,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,T.T.Tsui Gallery of Chinese Art,徐展堂中國藝術館,徐展堂中國藝術館,n.a.,n.a.,2009/04/01,2010/03/31,2009 ,4 ,1 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Permanent Exhibition,常設展,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,365 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,4,,,,#VALUE!,0 ,365 ,1 ,365 ,1 ,1 ,1 ,,,NA,,,indoor
0910,09101026,,0,Local,本地,,,Hong Kong Museum of Art,香港藝術館,,,MU,Hong Kong Museum of Art,Antiquities,文物,n.a.,n.a.,Chinese Gold,中國金器,中國金器,n.a.,n.a.,2002/08/22,2012/04/22,2002 ,8 ,1 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Permanent Exhibition,常設展,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,3532 ,,,,,,"days are wrong; refer to http://hk.art.museum/zh_TW/web/ma/exhibition1991-2.html#2002; (主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,8,,,,#VALUE!,0 ,365 ,1 ,365 ,1 ,1 ,0 ,,,NA,,,indoor
0910,09101028,,0,Local,本地,,,Museum of Tea Ware,茶具文物館,,,MU,Flagstaff House Museum of Tea Ware,Ceramics,陶藝,n.a.,n.a.,Chinese Tea Drinking (Permanent Exhibition),中國茗趣 (常設展),中國茗趣,n.a.,n.a.,9999,2015/11/30,9999,9999,1 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Permanent Exhibition,常設展,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,32340 ,,,,,,start date originally unknown; 常設展覽http://www.lcsd.gov.hk/CE/Museum/Arts/zh_TW/web/ma/mt-permanent-exhibition.html,23/1/2013,,1,5,,,,#VALUE!,0 ,365 ,1 ,365 ,1 ,1 ,0 ,,,NA,,,indoor
0910,09101029,,0,Local,本地,,,Museum of Tea Ware,茶具文物館,,,MU,Flagstaff House Museum of Tea Ware,Ceramics,陶藝,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,Chinese Ceramics and Seals Donated by the K.S. Lo Foundation (Permanent Exhibition),羅桂祥基金捐贈中國陶瓷、印章精選 (常設展),羅桂祥基金捐贈中國陶瓷、印章精選,n.a.,n.a.,1995-12-13,9999,1995 ,12 ,1 ,Flagstaff House Museum of Tea Ware,茶具文物館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Permanent Exhibition,常設展,1 ,1 ,1 ,88 ,,,1,1 ,,,1 ,,(25046),,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,3,,,,#VALUE!,0 ,365 ,1 ,365 ,1 ,1 ,0 ,,,NA,,,indoor
0910,09101031,,0,Local,本地 ,,,"2/F, Jockey Club Gallery, Hong Kong Arts Centre",香港藝術中心賽馬會藝廊二樓,,,HKAC,Atrium,Mixed Media and Installation,混合媒介及裝置,n.a.,n.a.,"Secret H. Q., 2008",秘密基地，2008,秘密基地，2008,n.a.,n.a.,2009/01/08,2010/01/31,2009 ,1 ,1 ," Hong Kong Arts Centre, Public Art Hong Kong",香港藝術中心、香港公共藝術,n.a.,n.a.,n.a.,n.a.,Kacey Wong,黃國才,Fully Supported by: Against Child Abuse Ltd.,全力支持︰防止虐待兒童會有限公司,1 ,1 ,4 ,88 ,,,1 ,1 ,,,1 ,,389 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,389 ,1 ,306 ,1 ,1 ,0 ,,,NA,,,indoor
0910,09100931b,,1,Local,本地 ,,,Main Entrance of Hong Kong Arts Centre,香港藝術中心正門,,,HKAC,public,Mixed Media and Installation,混合媒介及裝置,n.a.,n.a.,Hope,《願》,《願》,n.a.,n.a.,2009/01/12,2010/02/28,2009 ,1 ,1 ," Hong Kong Arts Centre, Public Art Hong Kong",香港藝術中心、香港公共藝術,Cultural and Leisure Services Committee of Wan Chai District Council ,灣仔區議會屬下文化及康體事務委員會 ,n.a.,n.a.,Kum Chi-keung,甘志強,,,1 ,1 ,4 ,88 ,,,1 ,1 ,,,1 ,,413 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,413 ,1 ,334 ,1 ,1 ,0 ,,,NA,,,both
0910,09101033,,0,Local,本地 ,,,Galerie du Monde,世界畫廊,,,GAL,Galerie du Monde,Prints,版畫,Painting,繪畫,JOINT EXHIBITION,N.A.,JOINT EXHIBITION,n.a.,n.a.,2009/01/12,2010/01/15,2009 ,1 ,1 ,Galerie du Monde,世界畫廊,n.a.,n.a.,n.a.,n.a.,LUO XIANGK; ZHANG WEIGUO,n.a.,,,1 ,1 ,6 ,88 ,,,1 ,1 ,,,1 ,,369 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,369 ,1 ,290 ,1 ,1 ,0 ,,,NA,,,indoor
0910,09101034a,,1,Local,本地 ,,,"Gallery III, Art Museum,The Chinese University of Hong Kong",香港中文大學文物館展覽廳III,,,SCH,CUHK - Art Museum,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,The Bei Shan Tan Legacy: Gifts of Chinese Art,北山汲古：利氏北山堂捐贈中國文物—書法,北山汲古：利氏北山堂捐贈中國文物—書法,n.a.,n.a.,2009/09/05,2010/06/27,2009 ,9 ,0 ,"Art Museum, The Chinese University of Hong Kong",香港中文大學文物館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,2 ,88 ,,,0 ,1 ,,,1 ,,296 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,296 ,0 ,208 ,1 ,1 ,158 ,,,NA,,,indoor
0910,09101034b,,1,Local,本地 ,,,"Gallery II, Art Museum,The Chinese University of Hong Kong",香港中文大學文物館展覽廳II,,,SCH,CUHK - Art Museum,Ceramics,陶藝,n.a.,n.a.,The Bei Shan Tan Legacy: Gifts of Chinese Art,北山汲古：利氏北山堂捐贈中國文物—陶瓷及雅製,北山汲古：利氏北山堂捐贈中國文物—陶瓷及雅製,n.a.,n.a.,2009/09/05,2011/01/05,2009 ,9 ,1 ,"Art Museum, The Chinese University of Hong Kong",香港中文大學文物館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,2 ,88 ,,,0 ,1 ,,,1 ,,488 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,4,,,,#VALUE!,0 ,488 ,1 ,208 ,1 ,1 ,158 ,,,NA,,,indoor
0910,09101034c,,1,Local,本地 ,,,"Gallery IV, Art Museum,The Chinese University of Hong Kong",香港中文大學文物館展覽廳IV,,,SCH,CUHK - Art Museum,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,The Bei Shan Tan Legacy: Gifts of Chinese Art,北山汲古：利氏北山堂捐贈中國文物—碑帖及銘刻,北山汲古：利氏北山堂捐贈中國文物—碑帖及銘刻,n.a.,n.a.,2009/09/05,2010/06/27,2009 ,9 ,0 ,"Art Museum, The Chinese University of Hong Kong",香港中文大學文物館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,2 ,88 ,,,0 ,1 ,,,1 ,,296 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,296 ,0 ,208 ,1 ,1 ,158 ,,,NA,,,indoor
0910,09101034d,,1,Local,本地 ,,,"Gallery I, Art Museum,The Chinese University of Hong Kong",香港中文大學文物館展覽廳I,,,SCH,CUHK - Art Museum,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,The Bei Shan Tan Legacy: Gifts of Chinese Art,北山汲古：利氏北山堂捐贈中國文物—繪畫,北山汲古：利氏北山堂捐贈中國文物—繪畫,n.a.,n.a.,2009/09/05,2010/05/09,2009 ,9 ,0 ,"Art Museum, The Chinese University of Hong Kong",香港中文大學文物館,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,2 ,88 ,,,0 ,1 ,,,1 ,,247 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,247 ,0 ,208 ,1 ,1 ,158 ,,,NA,,,indoor
0910,09101035,,0,Local,本地 ,,,Fabrik Contemporary Art,N.A.,,,GAL,Fabrik Contemporary Art,Painting,繪畫,n.a.,n.a.,MURAKAMI'S FLOWERS,N.A.,MURAKAMI'S FLOWERS,n.a.,n.a.,2009/10/28,2010/01/31,2009 ,10 ,0 ,Fabrik Contemporary Art,Fabrik Contemporary Art,n.a.,n.a.,n.a.,n.a.,Murakam,n.a.,,,1 ,1 ,6 ,88 ,,,0 ,1 ,,,1 ,,96 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,5,,,,#VALUE!,0 ,96 ,0 ,96 ,1 ,1 ,211 ,,,NA,,,
0910,09101036,,0,Local,本地 ,,,"Kwun Yum Garden, Kadoorie Farm and Botanic Garden",嘉道理農場暨植物園觀音園,,,OTHERS,Kadoorie Farm and Botanic Garden,Mixed Art-forms,綜合展,n.a.,n.a.,n.a.,親親大自然：SAORI手織布藝計劃展覽,親親大自然：SAORI手織布藝計劃展覽,n.a.,n.a.,2009/11/07,2010/01/03,2009 ,11 ,0 ,Art Promotion Office,藝術推廣辦事處,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,1 ,1 ,7 ,88 ,,,1 ,1 ,,,1 ,,58 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,58 ,0 ,58 ,1 ,1 ,221 ,,,NA,,,outdoor
0910,09101037,,0,Local,本地 ,,,Contemporary by Angela Li,Contemporary by Angela Li,,,GAL,Contemporary by Angela Li,Mixed Media and Installation,混合媒介及裝置,n.a.,n.a.,I Am Rich ! ,發達啦 !,發達啦 !,n.a.,n.a.,2009/11/19,2010/01/10,2009 ,11 ,0 ,n.a.,n.a.,n.a.,n.a.,Fang Lei ,方蕾,n.a.,n.a.,,,1 ,1 ,6 ,88 ,,,1 ,1 ,,,1 ,,53 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,1,,,,#VALUE!,0 ,53 ,0 ,53 ,1 ,1 ,233 ,,,NA,,,indoor
0910,09101038,,0,Local,本地 ,,,Ooi Botos Gallery,N.A.,,,GAL,Ooi Botos Gallery,Painting,繪畫,n.a.,n.a.,In a perfect world . . . : Xing Danwen,N.A.,In a perfect world . . . : Xing Danwen,n.a.,n.a.,2009/11/27,2010/02/27,2009 ,11 ,0 ,Ooi Botos Gallery,n.a.,n.a.,n.a.,n.a.,n.a.,Xing Danwen,n.a.,,,1 ,1 ,6 ,88 ,,,0 ,1 ,,,1 ,,93 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,1,,,,#VALUE!,0 ,93 ,0 ,93 ,1 ,1 ,241 ,,,NA,,,
0910,09101039,,0,Local,本地 ,,,Osage Soho,奧沙蘇豪,,,GAL,Osage Soho,Mixed Art-forms,綜合展,n.a.,n.a.,Lee Kit: Someone Singing and Calling Your Name ,李傑: Someone Singing and Calling Your Name ,李傑: Someone Singing and Calling Your Name ,n.a.,n.a.,2009/11/27,2010/01/10,2009 ,11 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Lee Kit,李傑,,,1 ,1 ,6 ,88 ,,,1 ,1 ,,,1 ,,45 ,,,,,,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,4,,,,#VALUE!,0 ,45 ,0 ,45 ,1 ,1 ,241 ,,,NA,,,indoor
0910,09101040,,0,Local,本地 ,,,Hong Kong Heritage Museum,香港文化博物館,,,MU,Hong Kong Heritage Museum,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,n.a.,n.a.,"""A Salute to Masters"" Programme Series - The Enchanting Brush: Selected Works of Chinese Painting and Calligraphy by Chao Shao-an from the Museum Collection",「大師的風采」專題節目：筆寫蟬嫣情 — 館藏趙少昂中國書畫作品選,「大師的風采」專題節目：筆寫蟬嫣情 — 館藏趙少昂中國書畫作品選,n.a.,n.a.,2009/11/28,2010/05/10,2009 ,11 ,0 ,Hong Kong Heritage Museum,香港文化博物館,n.a.,n.a.,n.a.,n.a.,Chao Shao-an,趙少昂,,,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,164 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,7,,,,#VALUE!,0 ,164 ,0 ,124 ,1 ,1 ,242 ,,,NA,,,indoor
0910,09101041,,0,Local,本地 ,,,Hong Kong Heritage Museum,香港文化博物館,,,MU,Hong Kong Heritage Museum,Design,設計,n.a.,n.a.,ANTOINE+MANUEL GRAPHIC VILLAGE,N.A.,ANTOINE+MANUEL GRAPHIC VILLAGE,n.a.,n.a.,2009/11/28,2010/02/15,2009 ,11 ,0 ,Antoine+Manuel and the Hong Kong Design Centre. A partnership project of the Hong Kong Heritage Museum,法國平面設計大師Antoine+Manuel及香港設計中心策劃。香港文化博物館合作夥伴計劃,n.a.,n.a.,n.a.,n.a.,Antoine Audiau and Manuel Warosz,Antoine Audiau與Manuel Warosz,Supported by the Consulate General of France in Hong Kong and Macau. Antoine+Manuel is an exhibition programme organised and produced by Les Arts Décoratifs in 2009,法國駐香港及澳門總領事館鼎力支持。Antoine+Manuel乃法國巴黎Les Arts Décoratifs 09年展覽項目,1 ,1 ,1 ,88 ,,,0 ,1 ,,,1 ,,80 ,,,,,,"""經費來源""及""資助類型""從2008-2009年度已刪除了",23/1/2013,,1,7,,,,#VALUE!,0 ,80 ,0 ,80 ,1 ,1 ,242 ,,,NA,,,indoor
0910,09101042,,0,Non-local,非本地,,,Osage Shanghai,奧沙上海,,,777 ,777 ,Painting,繪畫,n.a.,n.a.,Wilson Shieh: Fitting Room ,石家豪試身室,石家豪試身室,n.a.,n.a.,2009/11/29,2010/01/31,2009 ,11 ,0 ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Wilson Shieh,石家豪,,,1 ,777 ,777 ,77 ,,,0 ,777 ,,,777 ,,64 ,,,,,NON-LOCAL,"(主辦策展類型以場地推算),(""經費來源""及""資助類型""從2008-2009年度已刪除了)",23/1/2013,,1,8,,,,#VALUE!,0 ,64 ,0 ,64 ,777 ,777 ,243 ,,,NA,,,indoor
