title,organization/people
香港城市大學舞蹈學會,Organization
香港大學舞蹈學會,Organization
香港中文大學舞蹈學會,Organization
香港科技大學舞蹈學會,Organization
香港嶺南大學舞蹈學會,Organization
香港理工大學舞蹈學會,Organization
香港教育學院舞蹈學會,Organization
香港浸會大學舞蹈學會,Organization
舞藝組,
台北皇冠藝術節,
舞蹈空間,Organization
New York Institute of Dance and Education,
New York Institute of Dance and Education; 動藝,
世界舞蹈聯盟,Organization
第十屆亞洲藝術節鄭州市執委會,
何其沃,
黃曉妍,
朱偉仲,
徐焯然,
林詠茵,
張學良,
林建洪,
梁秀妍,
施德恩,
舞動教室,
錢秀蓮舞蹈團 /舞林,Organization
工俱舞蹈團,Organization
雅健社舞蹈團,Organization
踏歌社,Organization
儂情舞集,
舞蹈朋友,Organization
秦懿欣芭蕾舞學院,Organization
港城西北扶輪社,Organization
羅培丹芭蕾舞學校,Organization
香港教育學院學生會中國舞蹈藝術義工團,Organization
何浩川舞蹈團,Organization
香港佳佳舞蹈團,Organization
浩升娛樂有限公司,Organization
香港東方藝術表演團,Organization
四海龍王樂隊,
香港新界舞蹈團,Organization
屯門區議會康樂,Organization
文化委員會轄下屯門文娛藝術發展工作小組,
屯門文藝協進會屯門舞蹈團,Organization
葵青區議會特定節日工作小組,Organization
葵涌及青衣區文藝協進會,Organization
香港東南亞舞蹈團 及 索意歐洲民族舞蹈團,Organization
何靜茹,
創舞坊,
藝摯歐洲民族舞蹈組,Organization
CCDC舞蹈中心 與 Kongtact Square,Organization
CCDC舞蹈中心 與  Kongtact Square,Organization
的咁朵,
索意歐洲民族舞蹈團,Organization
玄牝舞集,
康樂文化事務處「香港故事」系列,Organization
詩人黑盒劇場,Organization
Kubrick 書店,
Kubrick Friday Live,
錢秀蓮舞蹈團 / 舞林,Organization
木蘭歌舞團,Organization
康樂及文化事務署觀眾拓展組,
亞洲青少年芭蕾舞團,Organization
Ones To Watch Dance Company,
東方明珠舞藝社,Organization
雷動天下; 協辦: 香港舞蹈聯盟,Organization
耆康會荃葵青區長者綜合服務,
躍舞翩,
聖雅各福群會 復康服務,
星榆兒童舞蹈團,Organization
藝術義工團,Organization
大專畢業生藝術義工團,Organization
大躍進,
郭慧芸芭蕾舞學校,Organization
萬紫千紅藝術團,Organization
協青社,Organization
雲海藝術團,Organization
社區文化發展中心與藝術在醫院,Organization
全人藝動,
香港藝術中心,Organization
香港藝術治療師協會  何天虹博士,Organization
Dr. Rainbow Ho,
