Year,Newly constructed id for migration,blank,1=巡迴展,location_en,location_tc,district_en,district_tc,venue_en,venue_tc,New_venue_en,New_venue_tc,site/展區簡稱,exh_venue/展場名稱,media1_en,media1_tc,media2_en,media2_tc,title_en,title_tc,title_combine,subtitle_en,subtitle_tc,start_date (dd/mm/yyyy),end_date (dd/mm/yyyy),Start_Year/首展年份,Start_Month/首展月份,permanent_exh/常設展,organizer_en,organizer_tc,co_organizer_en,co_organizer_tc,curator_en,curator_tc,participant_en,participant_tc,remark_en,remark_tc,count_exh/數量,site_count/展區數量,site_recode,space/活化空間,Media1 Code,Media2 Code,media_code/兩種媒介或以上,Venue_to_count,Venue_type_exh_count,Space_type_exh_count,Date to count,Count_exh = Date to count?,actual_exh_days/實際展期天,count_exh_day/年度展期天,adc_remarks,adc_remarks_date,,,,,,,,,,,,,,,,,,,,,,,Remarks,Remarks,Reference link,indoor/outdoor/both
1415,14150011,.,0,Local,本地,.,.,"L2-10, Jockey Club Creative Arts Centre, 30 Pak Tin Street, Shek Kip Mei, Kowloon, Hong Kong",香港九龍石硤尾白田街30號 賽馬會創意藝術中心L2-10,,,JCCAC,Lumenvisum,Ceramics,陶藝,88,88,"""Emerging Mountains"" An Exhibition by Fiana Wong",《如山》黃麗貞個展,n.a,n.a,n.a,05/07/2014,17/08/2014,2014,7,0,Lumenvisum,光影作坊,.,.,.,.,Fiona Wong,黃麗貞,.,.,1,1,4,6,#REF!,,0,1,1,1,1,1,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150012,.,0,Local,本地,.,.,Hong Kong Central Library Exhibition Gallery 1-3,香港中央圖書館 (地下展覽館1-3),,,LIB,Hong Kong Central Library Exhibition Gallery,Photography,攝影,88,88,"""France – China: Heritage, Tradition and Modernity"" Photography Exhibition",《法國與中國：文化遺產，傳統與現代生活比較》攝影展覽,n.a,n.a,n.a,21/05/2014,09/06/2014,2014,5,0,"YellowKorner, Consulate General of France in Hong Kong and Macau",YellowKorner、法國駐港總領事館,.,.,.,.,.,.,.,.,1,3,1,88,#REF!,,0,1,1,1,1,1,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150013,.,0,Local,本地,.,.,"L0 Gallery, Jockey Club Creative Arts Centre, 30 Pak Tin Street, Shek Kip Mei, Kowloon, Hong Kong",香港九龍石硤尾白田街30號 賽馬會創意藝術中心L0藝廊,,,JCCAC,L0 Gallery,Mixed Art-Forms,綜合展,88,88,"""Give Me Five!"" - Fukien Secondary School Affiliated School 5th Anniversary Art Show",“伍”福建中學附屬學校五週年藝術作品展,n.a,n.a,n.a,12/07/2014,13/07/2014,2014,7,0,(Please refer to the Chinese Version),細凌漆 + 福建中學附屬學校,.,.,.,.,.,.,.,.,1,1,4,6,#REF!,,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150014,.,0,Local ,本地,.,.,"Hong Kong City Hall Exhibition Gallery,Low Block, Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場大會堂低座香港大會堂展覽館,,,PA,City Hall Exhibition Gallery,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,88,88,"""HKU SPACE Diploma in Chinese Calligraphy Graduation Show 2015",香港大學專業進修學院第八屆中國書法文憑課程畢業作品展,n.a,n.a,n.a,22/02/2015,25/02/2015,2015,2,0,HKU School of Professional and Cintinuing Education,香港大學專業進修學院,.,.,.,.,.,.,.,.,1,1,1,88,#REF!,,0,1,1,1,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150015,.,0,Local ,本地,.,.,"Hong Kong City Hall Exhibition Gallery,Low Block, Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場大會堂低座香港大會堂展覽館,,,PA,City Hall Exhibition Gallery,Mixed Art-Forms,綜合展,88,88,"""Holy Affection""",第五屆聖經愛-主題藝術展,n.a,n.a,n.a,22/01/2015,25/01/2015,2015,1,0,Hong Kong Springtide Art Society,香港春潮畫會,.,.,.,.,.,.,.,.,1,1,1,88,#REF!,,1,1,1,1,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150016,.,0,Local,本地,.,.,Sha Tin Town Hall Exhibition gallery,沙田大會堂展覽廳,,,PA,Sha Tin Town Hall Exhibition Gallery,Painting,繪畫,Children Art,兒童藝術,"""If I can see"" Student Charity Drawing Exhibition",「若能看見」學生作品慈善畫展,n.a,n.a,n.a,19/09/2014,21/09/2014,2014,9,0,JR Art Studio,卓爾畫室,.,.,Joan Tang、Raymond Chan,鄧泳蘭、陳偉文,JR Art Studio's Student,卓爾畫室學生,.,"畫展理念
========
詩歌：若你能看見
  如若你能看見藍天，能望到千朵白雲隨風轉，
　願你不忘記感謝神，能看見絕未必然！
　如若你能聽見潮聲，能聽見千萬狂濤飛濺，
　願你不忘記感謝神，能聽見乃主恩典！
　環顧世上不知幾多眼睛，連自己雙手亦無從一見！
　若你抬頭仍舊見藍天，請緊記凝望多遍！
　環顧世上數不清的耳朵，連父親聲音亦從未聽見！
　若你偶然緩步至岸邊，請多聽潮浪一遍！

若能看見是必然的事嗎？我有深近視，放下了眼鏡真的好像盲了一樣。今天我可以看見花草樹木，孩子可愛的臉龐，爸爸媽媽親切溫馨的笑臉，是上帝的恩典。有時我們真的以為一切理所當然，沒有什麼可珍惜的。但…….當知道一切可以不是必然。我們希望孩子學習珍惜及感恩，也學習施予。

「奧比斯」是一個國際性的非營利醫療教育組織，肩負全球救盲使命。透過提供醫療設備和技術，以及培訓眼科醫護人員，協助發展中國家制訂長遠的救盲計劃，解決可避免的失明問題。

今次我們的畫展希望透過繪畫來籌款，把善款全數撥捐「奧比斯」，盼望它們把各位的愛心，分享到每一個需要光明的人、光明的世界、光明的角落。

畫展共展出284位學生合共320份繪畫作品，讓我們一同見証學生的成長。
",1,1,1,88,#REF!,#REF!,0,1,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,indoor
1415,14150017,.,0,Local,本地,.,.,(Please refer to Chinese Version),"中山紀念公園 (上環)
路線：沿60年代海岸線，由西環走到中環天星碼頭
",,,PUB,Sun Yat Sen Memorial Park,Mixed Media and Installation,混合媒介及裝置,Performance Arts ,行為藝術,"""In Search of Coast Line"" A trip along the coastline in 1967",「尋找海岸線」1967年的海岸之旅,n.a,n.a,n.a,20/04/2014,20/04/2014,2014,4,0,Art Together,Art Together 藝術到家,.,.,.,.,.,"羅文樂、劉學成、區家耀、吳家俊、黃思珩、盧潔瑩、鍾惠恩、陳正文、
何遠良 、陳佩玲、Hyzuii、Edwood YUNG、張嘉莉＠C&G
",.,.,1,1,7,88,#REF!,15,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor
1415,14150018,.,0,Local,本地,.,.,Central Ferry Pier 8,中環天星8號碼頭地下,,,PUB,"No.8, Star Ferry Pier, Central",Mixed Media and Installation,混合媒介及裝置,Performance Arts ,行為藝術,"""In Search of Coast Line"" Art parade education project",「尋找海岸線」藝術巡遊教育計劃,n.a,n.a,n.a,23/11/2014,30/11/2014,2014,11,0,Art Together,Art Together 藝術到家,.,.,.,.,.,"羅文樂、劉學成、區家耀、吳家俊、黃思珩、盧潔瑩、鍾惠恩、陳正文、
何遠良 、陳佩玲、Hyzuii、Edwood YUNG、張嘉莉＠C&G
",.,.,1,1,7,88,#REF!,15,1,1,1,1,1,1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,outdoor
1415,14150019,.,0,Local,本地,.,.,"Central Courtyard, Jockey Club Creative Arts Centre, 30 Pak Tin Street, Shek Kip Mei, Kowloon, Hong Kong",香港九龍石硤尾白田街30號賽馬會創意藝術中心中央庭園,,,JCCAC,public,Painting,繪畫,88,88,"""It's Our World"" Big Draw",.,n.a,n.a,n.a,19/10/2014,25/10/2014,2014,10,0,Spitting Gecko Studio,(請參閱英文版本),.,.,.,.,John McArthur,.,.,.,1,1,4,6,#REF!,,0,1,1,1,1,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
1415,14150020,.,0,Local ,本地,.,.,"Hong Kong City Hall Exhibition Gallery,Low Block, Edinburgh Place, Central, Hong Kong",香港中環愛丁堡廣場大會堂低座香港大會堂展覽館,,,PA,City Hall Exhibition Gallery,"Chinese Painting, Calligraphy and Seal Carving",書畫篆刻,88,88,"""Kai Fu Spring Festival Auction 2015 Fine Chinese & Paintings""",佳富2015年迎春藝術品拍賣會,n.a,n.a,n.a,26/01/2015,29/01/2015,2015,1,0,Kai Fu Auctioneer,佳富拍賣行,.,.,.,.,.,.,.,.,1,1,1,88,#REF!,,0,1,1,1,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,both
